,query,n_rank1,n_rank2,n_rank3,count,p_rank1,p_rank2,p_rank3
16,요금조회,"('실시간요금상세내역', 0.539)","('조회관련', 0.532)","('자녀요금조회방법', 0.493)",169,실시간요금상세내역(0.495),세금계산서재발행방법(0.40275745),"세금계산서신청방법(0.40016547)
"
17,로밍 안내 방송 서비스,"('T로밍고객센터', 0.462)",,,154,T로밍청구내역서(0.4681181),로밍한사람간통화요금(0.46580155),로밍중발신번호표시(0.4581771)
18,데이터 로밍 차단해줘,"('데이터로밍차단시통화문자이용', 0.749)","('데이터로밍차단시Wi-Fi이용', 0.672)","('데이터로밍차단해지', 0.551)",130,데이터로밍차단시Wi-Fi이용(0.4927865),데이터로밍차단시통화문자이용(0.490883025),"데이터로밍차단해지(0.45999305)
"
19,장기가입 쿠폰 사용할래,"('장기가입고객할인제도', 0.735)","('유선장기일시정지', 0.628)","('장기미사용휴대폰결제차단', 0.588)",116,T데이터쿠폰사용기간(0.4642638),T데이터쿠폰등록기간(0.4612645),T데이터쿠폰등록방법(0.4611435)
20,실시간요금,"('실시간요금상세내역', 0.708)",,,106,실시간요금상세내역(0.489387185),"휴대폰결제연체가산금(0.40038655)
",
21,납부가능일 등록,"('요금납부일확인방법', 0.67)",,,83,"요금납부일확인방법(0.9362654)
",,
22,미납문의,"('SKT미납센터연락처', 0.595)","('미납이용정지', 0.56)","('과납', 0.499)",76,SKT미납센터연락처(0.490670325),미납직권해지(0.4554266),미납이용정지(0.45397945)
23,약정할인,"('요금약정할인제도', 0.685)","('데이터결합약정할인', 0.505)",,65,"요금약정할인제도(0.81837237)
",,
24,휴대폰결제대행사연락처,"('휴대폰결제대행사연락처', 0.774)","('개통대리점조회방법', 0.463)",,54,휴대폰결제대행사연락처(0.44348305),"ONEstore고객센터(0.4128414)
",
25,청구서,"('각종업무구비서류', 0.512)","('이용계약증명서발급방법', 0.458)",,52,요금안내서재발행방법(0.45836135),요금안내서변경방법(0.44024135),"요금안내서발행유형자동변경해제방법(0.4208802)
"
26,청구서문자,"('문자메시지서비스', 0.601)","('MMS', 0.571)","('메시지관련', 0.542)",51,요금안내서재발행방법(0.46835667),요금안내서변경방법(0.44047117),요금안내서발행유형자동변경해제방법(0.42835292)
27,납부가능일등록,"('요금납부일확인방법', 0.681)","('요금납부일변경방법', 0.456)",,50,"요금납부일확인방법(0.95741105)
",,
28,남은 약정 기간,,,,50,일자별잔여통화안내신청방법(0.418598325),"일자별잔여통화안내(0.41407555)
",
29,선택약정 연장,"('연장관련', 0.581)","('번호변경안내서비스연장방법', 0.546)","('선택약정할인제도약정기간변경', 0.489)",44,선택약정할인제도만료문자발송시기(0.481445075),선택약정할인제도약정기간변경(0.46971163),선택약정할인제도가입조건(0.458999365)
30,휴대폰결제 대행사 연락처,"('휴대폰결제대행사연락처', 0.725)",,,40,휴대폰결제대행사연락처(0.4373969),"ONEstore고객센터(0.4111087)
",
31,데이터 잔여량,"('baro요금제잔여량확인', 0.533)","('baroBox잔여량조회', 0.521)","('자녀데이터사용량조회방법', 0.514)",39,최근사용량확인방법(0.4705245),"T로밍데이터잔여량확인(0.40135208)
",
32,요금 조회,"('조회관련', 0.539)","('실시간요금상세내역', 0.522)","('자녀요금조회방법', 0.478)",38,실시간요금상세내역(0.495),요금수납내역확인방법(0.44551033),요금부분납부방법(0.43981115)
33,상담할래,"('전화상담사연결', 0.568)","('퀵보이스', 0.529)","('퀵보이스차단서비스', 0.529)",36,전화상담사연결(0.483695625),SK텔레콤고객센터운영시간(0.47271485),타통신사고객센터(0.45431685)
34,약정재가입,"('선택약정할인제도재가입조건', 0.597)",,,35,"요금약정할인제도(0.86275184)
",,
35,내입금전용계좌,,,,34,이용계약증명서발급방법(0.4359459),가입상담예약방법(0.41235757),"이동전화가입제한(0.40727797)
"
36,실시간,"('실시간요금상세내역', 0.57)",,,34,"실시간요금상세내역(0.88262516)
",,
37,로밍 안내 방송 서비스 가입,"('T로밍카드등록방법', 0.602)",,,33,T로밍청구내역서(0.46215035),로밍한사람간통화요금(0.4468312),로밍중발신번호표시(0.44058)
38,아리아,"('알버트AI', 0.466)",,,32,NUGU서비스음성인식기능(0.44464493),BtvAI셋톱박스음성인식불가조치방법(0.433107525),소리샘서비스비밀번호(0.42994345)
39,사이판,"('T괌사이판요금제잔여량확인', 0.463)","('T괌사이판옵션변경', 0.46)",,30,T괌사이판요금제잔여량확인(0.47585705),0플랜스몰(0.47382105),0틴플랜스몰(0.470739575)
40,11월요금,,,,24,"요금납부일확인방법(0.8141656)
",,
41,납부 가능일 등록,"('요금납부일확인방법', 0.68)",,,24,"요금납부일확인방법(0.9088591)
",,
42,청구요금,,,,24,"요금안내서재발행방법(0.8926143)
",,
43,휴대폰 결제,"('결제관련', 0.731)","('앱스토어결제수단', 0.586)","('T로밍카드결제수단', 0.562)",22,휴대폰결제이용가능대상(0.47476125),휴대폰결제이용동의신청방법(0.42489715),"자동휴대폰결제차단방법(0.41570065)
"
44,재약정,"('선택약정할인제도재가입조건', 0.524)",,,22,"요금약정할인제도(0.8540318)
",,
45,이동전화 가입,"('휴대폰개통일확인방법', 0.52)","('신규가입구비서류', 0.509)","('개통관련', 0.481)",22,이용계약증명서발급방법(0.428034425),가입상담예약방법(0.4273559),"이동전화가입제한(0.422118365)
"
46,가상계좌보내주세요,"('채팅플러스계좌송금서비스', 0.454)",,,20,"차상위계층한부모가족복지할인제도(0.8532174)
",,
47,국제전화,"('국제전화알림Biz레터링', 0.586)","('국제전화청구주기', 0.501)",,20,국제전화알림Biz레터링(0.48891075),국제전화청구주기(0.47679603),국제전화사업자선택(0.4688006)
48,약정할인신청,"('데이터결합약정할인신청방법', 0.595)","('요금약정할인제도', 0.568)",,20,"요금약정할인제도(0.880974)
",,
49,납부방법,"('결제관련', 0.57)","('편의점요금납부', 0.498)","('단말기할부금중도납부방법', 0.462)",20,요금부분납부방법(0.484211415),요금수납내역확인방법(0.4824474),기타요금(0.4608454)
50,납부날짜,"('요금납부일확인방법', 0.637)",,,19,"요금납부일확인방법(0.9625246)
",,
51,선물 받은 쿠폰,"('T끼리데이터선물조르기방법', 0.621)","('T끼리데이터선물하기받은데이터사용방법', 0.593)","('T로밍카드선물', 0.59)",18,데이터리필하기선물받은리필쿠폰소멸(0.4657937),데이터리필하기쿠폰유효기간(0.4607274),데이터리필하기쿠폰사용내역확인방법(0.434918015)
52,미납 문의,"('SKT미납센터연락처', 0.59)","('미납이용정지', 0.555)","('과납', 0.529)",18,SKT미납센터연락처(0.4934037),미납직권해지(0.461545465),SKT해지미납센터연락처(0.45551885)
53,번호도용,"('명의도용', 0.544)","('번호도용문자차단', 0.473)",,18,번호이동제도(0.4603495),번호도용문자차단신청방법(0.453422),번호도용문자차단(0.452655735)
54,당월요금,,,,18,부가사용금액(0.45835015),과납(0.45789215),요금납부일확인방법(0.433476)
55,계좌번호 주세요,,,,17,SK텔레콤고객센터운영시간(0.4328546),전화상담사연결(0.4131344),타통신사고객센터(0.4119381)
56,데이터 쿠폰,"('Btv쿠폰', 0.669)","('T쿠폰', 0.626)",,16,T데이터쿠폰사용기간(0.4961189),T데이터쿠폰등록기간(0.4935993),T데이터쿠폰등록방법(0.49080425)
57,타인카드결제,"('타사고객baroBox이용', 0.483)","('T로밍카드타인양도', 0.479)",,16,동일신용카드월5회수납제한(0.43709782),"제휴카드할인(0.42280677)
",
58,로밍서비스,"('T로밍카드', 0.661)","('가족로밍', 0.579)","('T로밍고객센터', 0.571)",16,T로밍청구내역서(0.46555832),로밍한사람간통화요금(0.4648729),로밍통화요금(0.457772285)
59,세븐틴,"('0틴플랜요금제', 0.584)","('0틴5G요금제', 0.56)",,16,"SK세븐모바일(0.85761774)
",,
60,휴대폰 결제 문의 안내,"('결제관련', 0.748)","('앱스토어결제수단', 0.591)","('T로밍카드결제수단', 0.581)",16,휴대폰결제이용가능대상(0.45891553),"휴대폰결제이용동의신청방법(0.410425575)
",
61,또 누구는 내가 너무 착하대,,,,16,NUGU디바이스적색등오류(0.4624182),NUGU서비스스마트폰연결방법(0.443110735),NUGU서비스앱디바이스연결실패조치방법(0.42151335)
62,미납 요금,"('SKT미납센터연락처', 0.569)","('과납', 0.544)","('미납이용정지', 0.541)",15,SKT미납센터연락처(0.49314475),미납이용정지(0.45864433),미납직권해지(0.45519963)
63,실시간이용요금,"('실시간요금상세내역', 0.704)",,,15,"실시간요금상세내역(0.9661345)
",,
64,계좌번호 알려주세요,,,,15,"SK텔레콤고객센터운영시간(0.8262572)
",,
65,선택약정할인 연장,"('연장관련', 0.567)","('번호변경안내서비스연장방법', 0.552)","('선택약정할인제도약정기간변경', 0.514)",14,선택약정할인제도만료문자발송시기(0.48590175),선택약정할인제도가입조건(0.474636525),선택약정할인제도할인반환금부과대상(0.46842705)
66,선택약정 신청,"('선택약정할인제도가입조건', 0.675)","('Btv선택', 0.523)","('선택약정할인제도가입불가요금제', 0.488)",14,선택약정할인제도가입조건(0.48763868),선택약정할인제도만료문자발송시기(0.48624918),선택약정할인제도재가입조건(0.4836421)
67,미납요금조회,"('SKT미납센터연락처', 0.53)","('미납이용정지', 0.512)",,14,SKT미납센터연락처(0.4908876),미납이용정지(0.46607705),미납직권해지(0.442153335)
68,부재중전화,"('T_부재중안내', 0.699)",,,14,T_부재중안내(0.479463725),T_통화중대기(0.46276215),통화중대기서비스신청방법(0.4581559)
69,소액결제한도,"('애플콘텐츠이용료결제이용한도', 0.691)","('법인휴대폰결제이용한도', 0.688)","('데이터통화료상한제도', 0.619)",14,휴대폰결제이용가능대상(0.48553115),휴대폰결제이용제한방법(0.4542064),자동휴대폰결제차단방법(0.45179093)
70,소액결제 한도,"('법인휴대폰결제이용한도', 0.662)","('애플콘텐츠이용료결제이용한도', 0.646)","('데이터통화료상한제도', 0.6)",14,휴대폰결제이용가능대상(0.47776415),자동휴대폰결제차단방법(0.42835137),"휴대폰결제이용동의신청방법(0.41571045)
"
71,상담사좀 불러줘,"('전화상담사연결', 0.647)","('제조사AS센터연락처', 0.513)","('SK텔레콤고객센터운영시간', 0.505)",13,전화상담사연결(0.48801985),SK텔레콤고객센터운영시간(0.48511532),ONEstore고객센터(0.466441425)
72,약정가입,"('데이터결합약정할인신청방법', 0.572)","('가입상담예약방법', 0.512)","('요금약정할인제도', 0.464)",12,"요금약정할인제도(0.89574057)
",,
73,요금안내서,"('유선요금안내서', 0.513)","('요금안내서변경방법', 0.503)","('각종업무구비서류', 0.49)",12,요금안내서변경방법(0.48988512),요금안내서발행유형자동변경해제방법(0.4791683),"요금안내서재발행방법(0.47465455)
"
74,10월달요금,"('T아이폰케어10', 0.537)","('NewT아이폰케어10', 0.489)",,12,요금납부일확인방법(0.4279473),"과납(0.4163888)
",
75,전화번호,"('전화상담사연결', 0.571)","('제조사AS센터연락처', 0.485)","('전화관련', 0.473)",12,전화상담사연결(0.47024185),타통신사고객센터(0.458288225),SK텔레콤고객센터운영시간(0.4570957)
76,상담사 불러,"('전화상담사연결', 0.636)","('제조사AS센터연락처', 0.518)","('SK텔레콤고객센터운영시간', 0.504)",12,SK텔레콤고객센터운영시간(0.4875289),전화상담사연결(0.48255557),타통신사고객센터(0.465821475)
77,콘텐츠 이용료,,,,12,콘텐츠이용료구매내역확인방법(0.491594225),콘텐츠이용료가능대상(0.47486368),콘텐츠이용료결제취소방법(0.4334792)
78,약정할인 신청,"('요금약정할인제도', 0.586)","('데이터결합약정할인신청방법', 0.571)",,12,"요금약정할인제도(0.900184)
",,
79,부탁드려요,"('퀵보이스신청방법', 0.572)","('퀵보이스', 0.572)","('퀵보이스차단서비스', 0.572)",11,"전화상담사연결(0.8071424)
",,
80,요금청구서,"('각종업무구비서류', 0.6)","('이용계약증명서발급방법', 0.585)","('T로밍청구내역서', 0.464)",11,요금안내서재발행방법(0.48229578),요금안내서변경방법(0.46403825),"요금안내서발행유형자동변경해제방법(0.445985675)
"
81,일본 로밍,,,,10,T로밍청구내역서(0.47893572),로밍한사람간통화요금(0.4648243),로밍중발신번호표시(0.45475155)
82,실시간 요금,"('실시간요금상세내역', 0.715)",,,10,"실시간요금상세내역(0.98615915)
",,
83,일본로밍,,,,10,"T로밍청구내역서(0.8701813)
",,
84,운영시간,"('SK텔레콤고객센터운영시간', 0.524)",,,10,"SK텔레콤고객센터운영시간(0.8103158)
",,
85,계좌번호 302 0028 3069 61,,,,10,휴대폰결제대행사연락처(0.4318485),타통신사고객센터(0.4263892),SK텔레콤고객센터운영시간(0.4196684)
86,휴대폰결제한도변경,"('애플콘텐츠이용료결제이용한도', 0.624)","('법인휴대폰결제이용한도', 0.624)","('데이터통화료상한제도', 0.582)",10,콘텐츠이용료가능대상(0.4067477),휴대폰결제이용동의신청방법(0.40388268),"휴대폰결제이용가능대상(0.40299973)
"
87,자녀 선택약정,"('선택약정할인제도가입조건', 0.459)",,,10,선택약정할인제도약정기간변경(0.42277777),"요금약정할인제도(0.42211895)
",
88,t올케어 해지,"('T아이폰케어해지방법', 0.575)","('ZEM플러스웅진스마트올해지방법', 0.558)","('오토콜해지방법', 0.525)",10,단말보험해지방법(0.4603421),단말보험가입방법(0.4480555),"휴대폰보험보상신청방법(0.44005972)
"
89,소액결제 한도 상향,"('애플콘텐츠이용료결제이용한도', 0.58)","('데이터통화료상한제도', 0.554)","('법인휴대폰결제이용한도', 0.55)",10,휴대폰결제이용가능대상(0.48303835),자동휴대폰결제차단방법(0.44468645),"휴대폰결제이용제한방법(0.41455015)
"
90,번호도용차단,"('휴대폰결제이용차단', 0.463)","('번호도용문자차단', 0.462)",,10,번호도용문자차단신청방법(0.487849685),"번호도용문자차단(0.47896275)
",
91,제주신항,,,,10,"제주도프리(0.9733155)
",,
92,가상계좌번호 주세요,,,,10,"차상위계층한부모가족복지할인제도(0.80780387)
",,
93,미납요금납부가능일등록,"('요금납부일확인방법', 0.574)",,,10,SKT미납센터연락처(0.483664335),미납직권해지(0.4555733),SKT해지미납센터연락처(0.454146475)
94,상담자,"('전화상담사연결', 0.617)","('제조사AS센터연락처', 0.494)","('SK텔레콤고객센터운영시간', 0.465)",10,전화상담사연결(0.48703395),SK텔레콤고객센터운영시간(0.47728142),ONEstore고객센터(0.45671007)
95,미납요금결제,"('SKT미납센터연락처', 0.548)","('과납', 0.539)","('미납이용정지', 0.517)",10,SKT미납센터연락처(0.47655508),미납이용정지(0.45259095),SKT해지미납센터연락처(0.42467285)
96,25일 납부가능,,,,9,"요금납부일확인방법(0.93741655)
",,
97,미납요금요,"('SKT미납센터연락처', 0.585)","('미납이용정지', 0.539)","('과납', 0.527)",9,SKT미납센터연락처(0.492524535),미납이용정지(0.4628523),미납직권해지(0.4450028)
98,11월27일 납부가능합니다.,,,,9,"요금납부일확인방법(0.81270105)
",,
99,계좌번호 보내주세요,,,,9,"SK텔레콤고객센터운영시간(0.8388712)
",,
100,납부가능일자,"('요금납부일확인방법', 0.683)","('요금납부일변경방법', 0.471)",,9,"요금납부일확인방법(0.97047067)
",,
101,장기 가입 쿠폰 사용할게,"('장기가입고객할인제도', 0.744)","('유선장기일시정지', 0.633)","('장기일시정지', 0.593)",8,T데이터쿠폰등록방법(0.485033425),T데이터쿠폰사용기간(0.4847611),T데이터쿠폰등록기간(0.483813735)
102,콘텐츠이용료,,,,8,콘텐츠이용료구매내역확인방법(0.49302435),콘텐츠이용료가능대상(0.475005625),콘텐츠이용료결제취소방법(0.41954252)
103,카드로 납부,"('결제관련', 0.592)","('OK캐쉬백납부', 0.493)","('T로밍카드결제수단', 0.473)",8,요금부분납부방법(0.47216645),요금수납내역확인방법(0.47042665),편의점요금납부(0.46194342)
104,타인카드납부,"('T로밍카드타인양도', 0.514)","('타사고객baroBox이용', 0.452)",,8,동일신용카드월5회수납제한(0.47347927),"제휴카드할인(0.44492445)
",
105,핸드폰결제,"('결제관련', 0.714)","('앱스토어결제수단', 0.601)","('T로밍카드결제수단', 0.559)",8,휴대폰결제이용가능대상(0.4704005),콘텐츠이용료가능대상(0.422838775),휴대폰결제이용동의신청방법(0.4171971)
106,상담사와,"('전화상담사연결', 0.649)","('제조사AS센터연락처', 0.491)","('SK텔레콤고객센터운영시간', 0.474)",8,SK텔레콤고객센터운영시간(0.48652135),전화상담사연결(0.48562953),타통신사고객센터(0.474537015)
107,미납날짜 말일로 변경가능할까요?,,,,8,SKT미납센터연락처(0.4128106),"미납이용정지(0.4029555)
",
108,01094203667 1기가 선물,"('T끼리데이터선물조르기방법', 0.518)","('T로밍카드선물', 0.498)","('T끼리데이터선물하기받은데이터사용방법', 0.486)",8,T끼리데이터선물하기받은데이터사용방법(0.42342803),T끼리데이터선물하기연령(0.42330955),T끼리데이터선물하기대상(0.416208)
109,납부가능일 입력,"('요금납부일확인방법', 0.735)","('요금납부일변경방법', 0.501)",,8,"요금납부일확인방법(0.98744136)
",,
110,약정 가입,"('데이터결합약정할인신청방법', 0.543)","('가입상담예약방법', 0.5)","('요금약정할인제도', 0.46)",8,"요금약정할인제도(0.87811655)
",,
111,t전화 해제,"('비밀번호통화서비스해지방법', 0.591)","('T전화탈퇴및서비스미사용', 0.537)","('T전화', 0.462)",8,T전화이용방법(0.470124185),T전화설정방법(0.47003868),T전화모드유지(0.468672215)
112,미납요금 문의,"('SKT미납센터연락처', 0.587)","('미납이용정지', 0.566)","('과납', 0.52)",8,SKT미납센터연락처(0.49359545),미납이용정지(0.45941165),미납직권해지(0.4526814)
113,음성 잔여량,,,,8,"최근사용량확인방법(0.9065881)
",,
114,요금제 해지,"('Btv월정액해지방법', 0.536)","('이동전화해지방법', 0.526)","('T아이폰케어해지방법', 0.502)",8,이동전화해지방법(0.48737975),자동납부해지방법(0.47400965),"유선해지방법(0.43466375)
"
115,선택약정할인신청,"('선택약정할인제도가입조건', 0.697)","('Btv선택', 0.509)","('선택약정할인제도가입불가요금제', 0.482)",8,선택약정할인제도가입조건(0.49352917),선택약정할인제도만료문자발송시기(0.489326565),선택약정할인제도할인반환금부과대상(0.4882375)
116,미납요금 가상계좌,"('SKT미납센터연락처', 0.472)",,,8,SKT미납센터연락처(0.49205195),미납이용정지(0.45897758),미납직권해지(0.45746097)
117,계좌 번호,"('단말기일련번호확인방법', 0.451)",,,8,SK텔레콤고객센터운영시간(0.465484915),타통신사고객센터(0.45009775),전화상담사연결(0.4452579)
118,카드수납,"('결제관련', 0.526)","('단말기할부금중도납부방법', 0.523)","('OK캐쉬백납부', 0.517)",8,"동일신용카드월5회수납제한(0.8289399)
",,
119,미납납부,"('SKT미납센터연락처', 0.573)","('과납', 0.549)","('미납이용정지', 0.522)",8,SKT미납센터연락처(0.487989275),미납직권해지(0.47268948),SKT해지미납센터연락처(0.466912925)
120,휴대폰 결제 한도,"('법인휴대폰결제이용한도', 0.68)","('애플콘텐츠이용료결제이용한도', 0.65)","('데이터통화료상한제도', 0.595)",8,휴대폰결제이용가능대상(0.46855217),휴대폰결제이용동의신청방법(0.419881285),"자동휴대폰결제차단방법(0.41503802)
"
121,미납요금 납부 가능일 등록,"('요금납부일확인방법', 0.579)",,,8,SKT미납센터연락처(0.4804241),미납이용정지(0.45924577),SKT해지미납센터연락처(0.43457693)
122,홍콩에서 3일간 로밍을 하고 싶은데 어떤 서비스가  좋은지 알려주세요?,,,,8,T로밍청구내역서(0.44653812),로밍문자요금(0.43951225),로밍한사람간통화요금(0.429008)
123,소액결제 한도변경,"('데이터통화료상한제도', 0.57)","('애플콘텐츠이용료결제이용한도', 0.557)","('법인휴대폰결제이용한도', 0.552)",8,휴대폰결제이용가능대상(0.45353198),"휴대폰결제이용동의신청방법(0.41761985)
",
124,미납요금 납부가능일 등록,"('요금납부일확인방법', 0.577)",,,8,SKT미납센터연락처(0.47827105),미납이용정지(0.45709645),SKT해지미납센터연락처(0.43440792)
125,내요금제,"('Btv요금제', 0.515)","('요금제문의', 0.5)",,8,과납(0.42699795),"부가사용금액(0.41011563)
",
126,즉시결제,,,,8,휴대폰결제이용가능대상(0.46776667),"휴대폰결제이용동의신청방법(0.45971447)
",
127,약정할인 연장,"('연장관련', 0.644)","('번호변경안내서비스연장방법', 0.581)","('T데이터쿠폰사용기간', 0.501)",8,"요금약정할인제도(0.86468995)
",,
128,부재중,"('T_부재중안내', 0.695)",,,8,T_부재중안내(0.4618241),T_통화중대기(0.43167775),통화중대기서비스신청방법(0.430767)
129,납부가능날짜,"('요금납부일확인방법', 0.67)","('요금납부일변경방법', 0.463)",,8,"요금납부일확인방법(0.98628944)
",,
130,우체국,,,,7,"영업장위치확인(0.8241083)
",,
131,말일납부가능,"('요금납부일확인방법', 0.596)","('요금납부일변경방법', 0.476)",,7,"요금납부일확인방법(0.9039121)
",,
132,부가서비스요금,"('부가사용금액', 0.623)",,,7,"부가서비스가입내역확인방법(0.8910259)
",,
133,요금납부 전용계좌,,,,7,요금수납내역확인방법(0.45936205),기타요금(0.4581879),요금부분납부방법(0.4575264)
134,미납 납부가능일 문의,"('요금납부일확인방법', 0.531)",,,7,SKT미납센터연락처(0.4804519),미납이용정지(0.45571652),미납직권해지(0.432056)
135,미납가능일,"('미납이용정지', 0.539)",,,7,SKT미납센터연락처(0.48734835),미납이용정지(0.4625415),미납직권해지(0.43736097)
136,인터넷 미납요금,"('SKT미납센터연락처', 0.537)","('미납이용정지', 0.533)","('과납', 0.493)",6,SKT미납센터연락처(0.47881235),미납직권해지(0.446683465),미납이용정지(0.440462975)
137,미납요금?,"('SKT미납센터연락처', 0.585)","('미납이용정지', 0.552)","('과납', 0.506)",6,SKT미납센터연락처(0.49107105),미납이용정지(0.46090055),미납직권해지(0.44990918)
138,장기 가입 쿠폰,"('장기가입고객할인제도', 0.709)","('유선장기일시정지', 0.63)","('장기일시정지', 0.598)",6,T데이터쿠폰사용기간(0.483216585),T데이터쿠폰등록방법(0.48301765),T데이터쿠폰등록기간(0.48289245)
139,미납요금 가능일,"('미납이용정지', 0.501)","('SKT미납센터연락처', 0.461)",,6,SKT미납센터연락처(0.489134135),미납이용정지(0.46313897),미납직권해지(0.4381117)
140,미납요금관련,"('SKT미납센터연락처', 0.569)","('미납이용정지', 0.562)","('과납', 0.507)",6,SKT미납센터연락처(0.492520275),미납이용정지(0.46706617),미납직권해지(0.44244218)
141,청구요금알려줘,,,,6,"수납이력서재발행방법(0.8559713)
",,
142,전체금액,,,,6,휴대폰결제연체가산금(0.4388822),가산금(0.43431065),"실시간요금상세내역(0.41765487)
"
143,상담 신청할게,"('가입상담예약방법', 0.579)","('전화상담사연결', 0.487)","('통화중대기서비스신청방법', 0.451)",6,전화상담사연결(0.48454958),SK텔레콤고객센터운영시간(0.46707323),T멤버십구매상품(구.초콜릿)상담센터(0.44256995)
144,소액결제 한도상향,"('애플콘텐츠이용료결제이용한도', 0.591)","('데이터통화료상한제도', 0.583)","('법인휴대폰결제이용한도', 0.573)",6,휴대폰결제이용가능대상(0.4728707),휴대폰결제이용동의신청방법(0.421090635),"자동휴대폰결제차단방법(0.42045665)
"
145,쿠폰 사용,"('Btv쿠폰', 0.647)","('T쿠폰', 0.597)",,6,T데이터쿠폰사용기간(0.494174035),T쿠폰구매방법(0.491256415),T데이터쿠폰등록방법(0.490383265)
146,납부가능일 설정,"('요금납부일확인방법', 0.615)","('요금납부일변경방법', 0.558)",,6,"요금납부일확인방법(0.9195413)
",,
147,통화중,"('전화관련', 0.503)","('비밀번호통화서비스', 0.485)","('비밀번호통화서비스이용방법', 0.46)",6,통화중대기서비스(0.4386721),통화중대기서비스신청방법(0.4310752),통화중대기서비스해지방법(0.40646258)
148,미납 요금 납부 가능일 문의,"('요금납부일확인방법', 0.494)","('SKT미납센터연락처', 0.458)",,6,SKT미납센터연락처(0.4831681),미납이용정지(0.4569246),미납직권해지(0.4367144)
149,직원상담,"('전화상담사연결', 0.585)","('SK텔레콤고객센터운영시간', 0.525)","('제조사AS센터연락처', 0.517)",6,SK텔레콤고객센터운영시간(0.44430135),전화상담사연결(0.43822565),타통신사고객센터(0.42251065)
150,통화설정,"('T전화설정방법', 0.625)","('Btv사용자맞춤설정방법', 0.573)","('벨소리서비스설정방법', 0.505)",6,"전화상담사연결(0.80790746)
",,
151,미납요금가능일,"('미납이용정지', 0.489)","('SKT미납센터연락처', 0.471)",,6,SKT미납센터연락처(0.49067305),미납이용정지(0.463526725),미납직권해지(0.440378725)
