intent_nm,ans_cont
T끼리데이터선물하기취소,"'T끼리 데이터 선물하기 취소'에 대해 안내해 드릴게요.
'T끼리 데이터 선물하기'는 선물한 당일에도 취소가 안됩니다. 그러므로 선물하기를 이용할 때는 상대방의 이름, 전화번호를 다시 한번 확인한 후에 선물하시기 바랍니다."
가족간데이터자동선물하기,"'T끼리 데이터 자동 선물'에 대해 안내해 드릴게요.
결합된 가족에 한해 매월 1일이 되면 최대 2회선까지 선물할 수 있고, 월 최대 2회, 2GB까지 자동 선물로 등록할 수 있어요."
T끼리데이터선물하기연령,"T끼리 데이터 (자동)선물하기 연령'에 대해 안내해 드릴게요.
만 18세 이하 미성년자는 청소년 학교 폭력 예방 및 보호 차원으로 (자동)선물하기를 이용할 수 없어요. 단, 선물하기 조건에 만족하는 경우 경우 결합되어 있는 가족에 한해 데이터 선물하기를 이용할 수 있습니다. 선물하기 조건에 대한 자세한 내용은 고객센터로 문의해 주세요.

ㅇ SK텔레콤 고객센터: 국번 없이 114 또는 080-011-6000(무료)"
T끼리데이터선물하기대상,"'T끼리 데이터 선물하기 대상'에 대해 안내해 드릴게요.
T끼리 데이터 선물하기는 SK텔레콤 고객끼리만 가능하며, 다른 통신사의 고객과는 이용할 수 없어요. 데이터 선물하기 가능한 요금제(5GX 요금제 포함)를 사용 중인 고객이라면 매월 최대 2회, 2GB까지 선물하기/선물 받기를 할 수 있답니다.
※ 이용 중인 요금제/결합 상품에 따라 선물하기/받기 횟수는 달라질 수 있음"
T끼리데이터선물하기알림,"'T끼리 데이터 선물하기 알림'에 대해 안내해 드릴게요.
'T끼리 데이터 선물하기'를 이용하면 선물 받는 사람의 동의 없이 바로 전송됩니다. 선물이 전송된 후에는 선물한 고객님과 선물 받은 고객님 모두에게 선물 완료 문자를 발송해 드려요."
가족간데이터자동선물발송시점,"'T끼리 데이터 자동 선물의 발송 시점'에 대해 안내해 드릴게요.
자동 선물을 신청한 다음 달부터 매월 1일에 자동으로 발송되고, 날짜나 시간대는 개별적으로 설정할 수 없습니다.
※ 데이터 자동 선물이 완료된 후에는 취소할 수 없음"
데이터리필하기사용방법,"'리필 사용 방법'에 대해 안내해 드릴게요.
사용을 원할 때마다 별도 신청이 꼭 필요하고, 보유한 리필 쿠폰은 유효기간 내 한 달에 1장 사용할 수 있어요. 요금제 기본 제공량이 남아있는 경우에도 리필 쿠폰을 사용할 수 있지만, 리필한 서비스(데이터 또는 음성)가 먼저 사용된답니다."
데이터리필하기쿠폰제공,"'리필 쿠폰 제공'에 대해 안내해 드릴게요.
리필 쿠폰은 SK텔레콤 가입 후 번호별로 2년 이상 4장, 3년 이상 5장, 4년 이상 6장 제공을 해드리고 있어요.(정지 기간은 제외)"
데이터리필하기쿠폰취소,"'리필 쿠폰 취소'에 대해 안내해 드릴게요.
리필 쿠폰을 사용하고 소진 여부 상관없이 별도 취소가 되지 않으니 신중하게 사용 부탁드려요."
데이터리필하기쿠폰유효기간,"'리필 쿠폰 유효기간'에 대해 안내해 드릴게요.
지급받은 날로부터 1년이며, 유효기간은 연장되지 않아서 유효기간 안에만 사용할 수 있답니다. 더불어, 선물 받은 리필 쿠폰은 선물한 사람의 리필 쿠폰 유효기간하고 동일해요."
데이터리필하기데이터공유가능여부,"'리필 받은 데이터로 공유가 가능한지'에 대해 안내해 드릴게요.
리필한 데이터로 핫스팟, 테더링, 함께쓰기 회선까지도 사용이 얼마든지 가능하답니다.(단, T플랜, 0플랜, T플랜 시니어, 5GX 슬림/스탠다드 요금제 등 일부 요금제는 함께쓰기, 세컨드 디바이스 공유 이용 제한)"
데이터리필하기mVoIP사용가능여부,"'리필 데이터로 mVoIP(엠보입) 사용'에 대해 안내해 드릴게요.
리필 데이터로는 mVoIP 사용이 안타깝지만 불가해요.(mVoIP 사용 예시: 보이스톡, 페이스톡과 같이 앱에서 하는 통화)
mVoIP은 기본 제공량 내에서 사용이 가능하며, 리필 쿠폰은 데이터를 추가 제공해 드리는 서비스로 기본 제공량으로 볼 수 없답니다."
데이터리필하기쿠폰과안심옵션중복사용,"'리필 쿠폰과 안심옵션 중복 사용'에 대해 안내해 드릴게요.
안심옵션을 사용 중이더라도 데이터 리필하기는 가능해요. 안심옵션으로 속도가 느린 상태라도 데이터로 리필하면 빠른 속도로 사용이 가능합니다."
데이터리필하기문자통보,"'리필 쿠폰 문자'에 대해 안내해 드릴게요.
신규 발급 시 문자 발송되고, 리필 데이터/음성 소진 시 문자로 꼼꼼하게 알려드려요.(데이터는 80%, 100% 소진 시, 음성은 10분 미만, 모두 소진 시 안내)"
데이터리필하기선물받은리필쿠폰소멸,"'선물 받은 리필 쿠폰 소멸'에 대해 안내해 드릴게요.
선물 받은 리필 쿠폰의 유효기간이 남아 있다면 쿠폰은 별도 소멸되지 않으니 걱정 말고 이용해 주세요."
소리샘서비스비밀번호,"'소리샘 비밀번호'에 대해 안내해 드릴게요.
소리샘 가입 후 최초 접속(*89+통화) 시 휴대폰 번호 뒷자리로 자동 설정되며, 비밀번호 변경 후 메시지 청취를 할 수 있어요.

▶ 소리샘 비밀번호 변경 경로
*89+통화 → 비밀번호 입력/음성 인증 → 3. 개인 사물함 → 2. 비밀번호 변경

※비밀번호를 모르는 경우 명의자 본인에 한해 고객센터에서 확인 가능하며, 초기화 업무는 CV센터(구.지점)/PS&M지점/대리점, T월드에서 가능"
T전화baro,"'baro'에 대해 안내해 드릴게요.
baro는 해외에서 T전화를 이용해 고품질의 데이터 음성통화를 할 수 있는 서비스예요. T전화 앱에서 'baro' 를 보다 자세히 알 수 있습니다.
ㅇ T전화 앱: 앱 실행 → T설정 → baro 이용 가이드
ㅇ 'baro' 이용 방법 및 baro 이용 로밍요금제 안내: https://troaming.tworld.co.kr/poc/roaming/RO7.3.html (링크에 접속하면 데이터 차감됨)
※ SK텔레콤 가입자만 이용 가능
※ 해외에서 사용 중 유심을 변경(유심기변)할 경우 baro 서비스 이용 불가

혹시, T전화 baro가 아닌 baro 요금제가 궁금하다면 'baro 요금제'라고 입력해 주세요."
미성년자로밍,"'미성년자 로밍'에 대해 안내해 드릴게요.
미성년자 명의의 휴대폰도 로밍이 가능해요.(일부 휴대폰 로밍 안될 수 있음) 다만, 청소년 요금제 사용 중이라면 로밍이 제한되고, 성인 요금제 사용 중이라면 자동으로 로밍은 되지만 국내 요금제와 상관 없이 로밍 요금은 별도로 과금돼요. 업무에 따라 법정대리인 동의가 필요하기에 만 18세 이하 가입자의 로밍 문의 및 신청은 T로밍 고객센터 02-6343-9000(24시간 운영, SK텔레콤 휴대폰에서 무료)으로 문의해 주세요."
VIP요금제프로그램,"'요금제 멤버십 혜택'에 대해 안내해 드릴게요.
요금약정할인 금액을 제외한 월정액 75,900원(부가세 포함) 이상 요금제 신청/유지 고객님께 멤버십 VIP 혜택을 제공해 드리고 있어요.(5G 요금제는 별도 운영)
요금제 신청/변경일에 따라 아래와 같이 멤버십 등급이 적용됩니다.
※ 월 중 정지 일수 7일 이상일 경우 익월 1일 기존 T멤버십 등급으로 원복 적용

- 1일~15일 신청/변경: 익월 1일 승급
- 16일~월말 신청/변경: 익월 16일 승급"
가족나눔데이터,"'가족나눔데이터'에 대해 안내해 드릴게요.
이동전화 가족 회선수에 따라 가족 간 나눠쓸 수 있는 데이터를 매월 제공해주는 무료 서비스예요. 가족 회선수가 2명~3명이면 500MB, 4명~5명이면 1,000MB의 데이터를 추가로 제공해 드립니다. 단, 가족나눔데이터는 매월 가족 대표가 본인을 포함하여 데이터 나눠쓰기 후 사용 가능하니 참고해 주세요.

ㅇ 가족나눔데이터 나눠쓰기가 궁금하다면 '가족나눔데이터 나눠쓰기'라고 입력해 주세요."
세금계산서신청방법,"'세금계산서 신청 방법'에 대해 안내해 드릴게요.
세금계산서는 이동전화 명의가 법인 및 개인사업자인 경우 CV센터(구.지점)/PS&M지점/대리점, 고객센터(팩스/이메일)를 통해 신청 가능해요. 법인의 경우 별도 신청없이 자동으로 세금계산서 발행이 됩니다. 신청인에 따라 구비서류가 다르니 자세한 내용은 고객센터로 문의해 주세요.

ㅇ SK텔레콤 고객센터: 국번 없이 114 또는 080-011-6000(무료)"
단말보험가입방법,"'휴대폰 보험 가입 방법'을 알려 드릴게요.
보험 가입은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드, T다이렉트샵(TDS), 빌레터를 통해 가입할 수 있는데요.
그 중에서 기다림 없이 나에게 딱 맞는 보험상품을 추천받을 수 있는 곳을 알려드릴게요.

그중에서 기다림 없이 나에게 딱 맞는 보험상품을 추천받을 수 있는 곳을 알려드릴게요.
▶ 나에게 딱 맞는 보험상품 알아보기 : https://finance.sktelecom.com/zi.jsp?id=chatty"
넘버플러스2신청방법,"'넘버플러스II 신청 방법'에 대해 안내해 드릴게요.
넘버플러스II는 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드, T통화매니저 앱, 넘버플러스II 앱에서 신청할 수 있어요. 단 아이폰, 태블릿PC, 넘버플러스 사용 고객은 넘버플러스II 앱을 이용할 수 없으니 참고해 주세요.
고객센터 연결 없이 직접 신청하는 방법을 알려드릴게요.

▶ T월드 홈페이지: www.tworld.co.kr → 로그인 → 상단 돋보기 '넘버플러스' 검색 → '넘버플러스II' 선택 → 가입 → 희망 번호찾기 → 번호 선택 → 다음 → 신청
▶ T월드 앱: 앱 실행 → 로그인 → 상단 돋보기 '넘버플러스' 검색 → '넘버플러스II' 선택 → 가입 → 희망 번호조회 → 번호 선택 → 설정 완료 → 가입하기

※ 넘버플러스II 자번호는 마지막으로 변경한 날 이전 변경 일자를 포함하여 92일째부터 변경 가능"
5G기기변경방법,"초시대 5G 휴대폰은 SK텔레콤과 함께!
국내 최고 속도의 5G 이용을 위해서는 5G 전용 스마트폰과 5GX 요금제 사용이 필요해요. 5GX 요금제는 빨라진 네트워크 속도만큼 DATA가 충분히 제공됩니다. 5G 전용 스마트폰으로 초시대의 5G를 만끽하고 싶다면 전화로 기기변경 상담이 가능한 T다이렉트 샵과 함께하세요.

[T다이렉트 샵]
- 고객센터: 1525(무료/SKT휴대폰) 또는 1599-0111(유료)
- 운영시간: 평일 오전 9시~오후 9시, 토요일 오전 10시~오후 9시
- 홈페이지: shop.tworld.co.kr"
개명개칭방법,"'개명개칭 방법'에 대해 안내해 드릴게요.
고객님의 성명이 오입력 되었거나, 법적으로 개명한 경우 고객 정보를 변경할 수 있어요. 개명개칭은 신분증(주민등록증/임시 발급증, 운전면허증 등) 지참 후 CV센터(구.지점)/PS&M지점/대리점으로 방문하거나, 별도의 서류 없이 진위 여부 확인으로 고객센터에서 처리 가능합니다.

채팅 상담사를 통해 바로 처리하고 싶다면 '추가 문의'라고 입력해 주세요."
군입대장기일시정지재신청방법,"'군 정지 재신청 방법'에 대해 안내해 드릴게요.
군 정지 중 휴가, 외출 등의 사유로 핸드폰 사용을 원하는 경우 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드, ARS 114를 통해 정지 해제 후 사용할 수 있어요. 정지 해제 시 복귀 일자에 맞춰 예약 정지할 수 있고, 최초 정지 신청인이 고객센터에서 정지 해제＆예약 정지를 동시 처리할 경우 신분증 없이 바로 가능합니다. 단, 그 외 가족이 요청하는 경우 신분증과 가족관계 입증서류 제출이 필요하니 참고해 주세요.

ㅇ 군 정지 해제 후 요금제 사용이 궁금하다면 '군 전용 요금제'라고 입력해 주세요."
슬림,"'슬림 요금제'에 대해 안내해 드릴게요.
슬림 요금제는 5G 스마트폰을 사용하는 고객님이 이용할 수 있는 5G 전용 요금제예요. 변경은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 할 수 있습니다.

▶ 월 55,000원(부가세 포함)
▶ 기본제공
- 음성: 집전화/이동전화 무제한+영상/부가통화 300분
- 문자: 기본제공
- 데이터: 10GB(모두 사용 후 1Mbps 속도로 무제한)
▶ 추가혜택
- 2020년 2월 27일부터 휴대폰 보험 가입 시 최대 24개월 동안 월 최대 580원 할인(21.03.31까지 가입자에 한해 혜택 제공)"
T전화통화녹음기능,"'T전화 통화 자동녹음 기능'에 대해 알려 드릴게요.
T전화 자동녹음 기능은 T전화 앱으로 전화를 걸고 받을 때 모든 번호(특정 번호 포함)에 대해 자동녹음을 설정하고 확인할 수 있는 기능이에요. T전화가 기본 탑재되지 않은 삼성/LG 스마트폰은 'T전화 통화녹음 앱'을 별도 설치 후 이용 가능하며, 아이폰은 녹음기능이 제공되지 않습니다. 자동녹음 설정하는 방법을 알려드릴게요.
 
▶ 자동녹음 설정 방법: T전화 앱 실행 → 화면 오른쪽 하단 T로고 → 통화 자동녹음 → 자동녹음 '켜짐'
 
※ 통화녹음은 스마트폰 '내부 저장소'에 저장되며, 기기변경(또는 공장 초기화) 전에 필요한 녹음파일 백업 필요
 
좀 더 향상된 통화녹음 기능이 궁금하다면 'T전화 AI통화녹음'을 선택해 주세요."
PASS건강지키미해지방법,"'PASS 건강지키미 해지 방법'에 대해 안내해 드릴게요.
PASS 건강지키미는 CV센터(구.지점)/PS&M지점/대리점, 고객센터(114), T월드, PASS 앱, PASS 건강지키미 고객센터(1599-4760/유료), PASS 건강지키미 홈페이지(www.myhm.co.kr)에서 해지할 수 있어요. 고객센터 연결 없이 직접 해지하는 방법을 알려드릴게요.
 
▶ T월드 홈페이지: www.tworld.co.kr → 로그인 → 상단 돋보기 'PASS 건강지키미' 검색 → 'PASS 건강지키미' 선택 → 해지
▶ T월드 앱: 앱 실행 → 로그인 → 상단 돋보기 'PASS 건강지키미' 검색 → 'PASS 건강지키미' 선택 → 해지

채팅 상담사를 통해 바로 처리하고 싶다면 '추가 문의'라고 입력해 주세요."
OK캐쉬백납부,"'OK캐쉬백(OCB) 요금 납부'에 대해 안내해 드릴게요.
휴대폰 명의자 본인의 OK캐쉬백 포인트로 SK텔레콤 휴대폰 요금을 납부할 수 있어요. 납부는 즉시납부, 1회 납부예약, 자동차감 방법이 있답니다. 방법에 따라 적용되는 납부 대상(미납 요금/이번달 요금/다음달 요금)이 달라질 수 있어요. 신청은 CV센터(구.지점)/PS&M지점/대리점, 고객센터(1회 납부예약 및 자동차감만 가능), T월드, 빌레터(즉시 납부만 가능)에서 가능합니다.
※ 자동납부 고객은 자동납부 인출기간 중 T월드에서 OK캐쉬백 즉시납부 불가

채팅 상담사를 통해 자세히 상담하고 싶다면 '추가 문의'라고 입력해 주세요."
상품권수납,"'상품권 요금 납부'에 대해 안내해 드릴게요.
SK상품권으로 휴대폰 요금과 휴대폰 기기 값을 납부할 수 있어요. 단, 휴대폰을 구매하는 처음에만 상품권으로 기기 값을 납부할 수 있고, 이후 휴대폰 할부금(중도/완납), 해지 정산요금 등은 상품권으로 납부할 수 없답니다. 납부는 CV센터(구.지점)/PS&M지점/대리점에서 할 수 있어요.

채팅 상담사를 통해 자세히 상담하고 싶다면 '추가 문의'라고 입력해 주세요."
데이터추가사용방법,"'데이터 추가 사용 방법'에 대해 안내해 드릴게요.
기본 제공 데이터를 다 써도 데이터를 추가로 사용할 수 있는 다양한 방법이 있어요. 원하시는 데이터 관련 상담을 선택해 주시면 자세히 알려드릴게요.

- LTE 안심옵션
- T데이터 쿠폰 구매 방법
- 데이터 리필하기
- 데이터 선물 조르기"
로밍중mVoIP이용,"'로밍 중 모바일 인터넷 전화(mVoIP) 이용'에 대해 안내해 드릴게요. 
로밍 중에는 모바일 인터텟 전화(mVoIP)를 제한 없이 이용할 수 있어요. 다만, 현지 정책에 따라 이용이 안되는 경우도 있으니 참고해 주세요."
baroBox임대,"'baro Box 임대'에 대해 안내해 드릴게요.
baro Box 임대는 로밍 가능 국가에서 데이터를 이용할 수 있도록 T로밍 전용 와이파이 기기를 빌려드리는 서비스예요.
baro Box 임대료가 궁금하시면 'baro Box 임대료', 예약 방법이 궁금하시면 'baro Box 임대 예약'이라고 입력해 주세요."
로밍중휴대폰분실신고,"'로밍 중 휴대폰 분실 신고 방법'에 대해 안내해 드릴게요.
해외에서 휴대폰이나 유심(USIM) 분실 시 타인의 사용으로 인해 요금이 과다하게 발생할 수 있어요. 분실 즉시, T로밍 고객센터로 신고해 주세요.
ㅇ T로밍 고객센터: +82-2-6343-9000(24시간 운영, SK텔레콤 휴대폰에서 무료)

▶ 로밍 중 휴대폰/USIM 분실 시 대처 방법 자세히 보기: http://naver.me/GQmP6ogy (링크에 접속하면 데이터 차감됨)"
선불폰충전금액별이용기간,"'선불폰(PPS) 금액별 이용 기간'에 대해 안내해 드릴게요.
선불폰은 충전 금액에 따라 발신 가능 기간과 수신 가능 기간이 달라요. 이용 기간 안에 충전한 금액을 모두 사용하면 발신은 정지되지만 수신은 할 수 있어요. 단, 이용 기간이 종료되면 충전 금액이 남아있어도 수/발신을 모두 사용할 수 없답니다. 충전 금액별 이용 기간을 알려드릴게요.

[충전 금액별 이용 기간]
- 5,000원권: 발신 기간 30일/수신 기간 40일
- 10,000원권: 발신 기간 60일/수신 기간 70일
- 20,000원권: 발신 기간 120일/수신 기간 130일
- 30,000원권: 발신 기간 180일/수신 기간 190일
- 50,000원권: 발신 기간 365일/수신 기간 375일"
baroBox임대예약취소,"'baro Box 예약 취소 방법'에 대해 안내해 드릴게요.
ㅇ T월드 홈페이지: www.tworld.co.kr → 로밍 → baro Box/폰 임대 → 예약 조회/취소 → 예약 취소
ㅇ T로밍 고객센터: 02-6343-9000(24시간 운영, SK텔레콤 휴대폰에서 무료)

채팅 상담사와 상담을 원하시면 '로밍 추가 문의'라고 입력해 주세요."
baroBox임대예약방법,"'baro Box 임대 예약 방법'에 대해 안내해 드릴게요. 
ㅇ T월드 홈페이지: www.tworld.co.kr → 로밍 → baro Box/폰 임대 → 예약 → 본인 인증 하기 → baro Box
ㅇ T로밍 고객센터: 02-6343-9000(24시간 운영, SK텔레콤 휴대폰에서 무료)
※수량이 한정되어 있으므로 예약 후 이용 권장(출국 2일 전까지 예약 가능)
※법인 명의는 서류 접수 또는 신용카드 승인 필요

채팅 상담사와 상담을 원하시면 '로밍 추가 문의'라고 입력해 주세요."
T건강습관XAIAVitality,"'T건강습관'에 대해 안내해 드릴게요.
T건강습관은 SK텔레콤을 이용 중인 만 18세 이상의 고객님이라면 누구나 이용할 수 있는 무료 서비스예요. 매주 걷기 미션을 달성하면 SK텔레콤 통신비 3,000원 할인, 스타벅스 커피 쿠폰 오늘의 커피(Tall size), 이마트 할인 쿠폰 3,000원, 교보문고 기프트카드 교환권 3,000원 혜택 중 1개를 선택해 받으실 수 있어요. 또한, 제휴 사이트(헬시푸드)에서 상품 구매를 하면 구매 금액에 따라 추가로 통신비 할인도 받을 수 있답니다.

ㅇ 신청 방법이 궁금하다면 'T건강습관 신청 방법'이라고 입력해 주세요."
T건강습관XAIAVitality이용방법,"'T건강습관 이용 방법'에 대해 안내해 드릴게요.
T건강습관 X AIA Vitality 앱에서 매주 걷기 미션을 달성하기 위해서는 바이탈리티 나이 측정과 걸음 수를 측정할 수 있는 앱 또는 웨어러블 기기와의 연동이 필요해요. 직접 설정하는 방법을 알려드릴게요.

▶ 바이탈리티 나이 측정: T건강습관 X AIA Vitality 앱 실행 → 건강 → 바이탈리티 나이 → 측정 시작
▶ 디바이스/앱 연결: T건강습관 X AIA Vitality 앱 실행 → 오른쪽 상단 '≡' → 디바이스/앱 연결 → 원하는 앱 선택 후 연결하기"
오토컬러링,"'오토컬러링(구.오토링)'에 대해 안내해 드릴게요.
오토컬러링은 월 1,650원(부가세 포함)으로 컬러링 음원이 5일 간격으로 자동 변경되는 서비스예요. 고객님의 취향에 따라 음악 장르를 선택할 수 있고, 장르는 월 10회까지 변경할 수 있답니다. 장르를 변경하지 않으면 최신 가요가 기본으로 설정되니 참고해 주세요.

ㅇ 신청 방법이 궁금하다면 '오토컬러링 신청 방법'이라고 입력해 주세요."
Tworld장기미접속자동탈퇴 ,"'T월드 장기 미사용 시 자동 탈퇴'에 대해 안내해 드릴게요.
T월드에 1년 이상 로그인하지 않으면 고객님의 아이디가 자동으로 탈퇴되고 개인 정보는 삭제돼요. 자동으로 탈퇴되기 최소 30일 전에 문자와 메일로 안내해드리니 꼭 확인해 주세요. 자동 탈퇴를 원하지 않을 경우 T월드, T멤버십, T다이렉트 샵(홈페이지) 중 1곳에서 1번 이상 로그인을 하시면 돼요. T월드 장기 미사용 시 자동 탈퇴 관련 자세한 내용은 고객센터로 문의해 주세요.

ㅇ SK텔레콤 고객센터: 국번 없이 114 또는 080-011-6000(무료)"
ZEM이용방법,"'ZEM(구. 쿠키즈) 앱 이용 방법'에 대해 안내해 드릴게요.
자녀가 어디에 있는지 궁금하거나 자녀의 스마트폰을 관리하고 싶다면 ZEM(잼) 앱을 이용해 보세요. 앱 설치 방법을 알려드릴게요.

[설치 방법]
1. 자녀 휴대폰으로 구글 Play 스토어/ONE store에서 'ZEM(잼)-자녀용' 앱 다운로드
2. ZEM(잼)-자녀용 앱 실행 → 보호자 휴대폰 번호 입력 → 부모 앱 연결 신청
3. 보호자 휴대폰으로 구글 Play 스토어/ONE store/App store에서 'ZEM(잼)-부모용' 앱 다운로드
4. ZEM(잼)-부모용 앱 실행 → T아이디로 가입 → 로그인 → '+' 선택 → 자녀 정보 입력
5. 자녀 휴대폰에 문자로 전송된 인증 번호를 부모용 앱에 입력
6. 자녀용 앱에서 요청 승인(부모용 앱의 휴대폰 제어 권한 허용 필수)"
5G로밍가능국가,"'5G 로밍 서비스 가능 국가'에 대해 안내해 드릴게요.
5G 로밍은 스위스, 이탈리아, 중국, 홍콩 등 5G가 가능한 국가에서 사용할 수 있으며 가능 국가는 점차 확대될 예정이에요.
※5G 로밍 가능 휴대폰 확인 필요

채팅 상담사와 상담을 원하시면 '로밍 추가 문의'라고 입력해 주세요."
