query,n_rank1,n_rank2,n_rank3,count,p_rank1,p_rank2,p_rank3,f_rank1,f_rank2,f_rank3
t올케어 해지,"('퀵보이스 해지 방법', 0.908)","('아파트청약케어 해지 방법', 0.907)","('데이터 로밍 차단 해지', 0.906)",10,단말보험해지방법(0.4603421),단말보험가입방법(0.4480555),"휴대폰보험보상신청방법(0.44005972)
","('단말보험 해지 방법', 0.451)",,
실시간 요금,"('실시간 요금 상세 내역', 0.942)","('결제 관련', 0.801)","('예약 관련', 0.76)",10,"실시간요금상세내역(0.98615915)
",,,"('실시간 요금 상세 내역', 0.871)","('요금제문의', 0.499)","('로밍 요금 확인 시점', 0.426)"
미납요금결제,"('SKT 미납센터 연락처', 0.943)","('미납 이용정지', 0.918)","('과납', 0.894)",10,SKT미납센터연락처(0.47655508),미납이용정지(0.45259095),SKT해지미납센터연락처(0.42467285),"('과납', 0.671)","('미납 이용정지', 0.651)","('SKT 미납센터 연락처', 0.626)"
상담자,"('전화 상담사 연결', 0.967)","('A.', 0.94)","('SK텔레콤 고객센터 운영 시간', 0.839)",10,전화상담사연결(0.48703395),SK텔레콤고객센터운영시간(0.47728142),ONEstore고객센터(0.45671007),"('전화 상담사 연결', 0.766)","('채티 서비스', 0.58)","('SK텔레콤 고객센터 운영 시간', 0.533)"
번호도용차단,"('번호도용문자차단 해지 방법', 0.95)","('번호도용문자차단 신청 방법', 0.945)","('번호도용문자차단', 0.935)",10,번호도용문자차단신청방법(0.487849685),"번호도용문자차단(0.47896275)
",,"('번호도용문자차단', 0.726)","('익명호 수신거부 서비스', 0.475)","('발신번호 관련', 0.471)"
자녀 선택약정,"('자녀 요금 조회 방법', 0.994)","('자녀요금통보서비스', 0.992)","('자녀요금통보서비스 해지 방법', 0.989)",10,선택약정할인제도약정기간변경(0.42277777),"요금약정할인제도(0.42211895)
",,"('미성년자 관련', 0.533)","('T자녀안심', 0.484)","('T청소년안심서비스', 0.456)"
제주신항,"('B tv OCEAN', 0.606)","('T um 체험관', 0.596)","('개통 관련', 0.583)",10,"제주도프리(0.9733155)
",,,"('제주도 프리', 0.581)",,
25일 납부가능,"('요금 부분 납부 방법', 0.793)","('과납', 0.787)","('통신과금 선결제', 0.732)",9,"요금납부일확인방법(0.93741655)
",,,"('단말기 할부금 중도 납부 방법', 0.557)","('요금 납부일 확인 방법', 0.556)","('요금 납부일 변경 방법', 0.532)"
미납요금요,"('SKT 미납센터 연락처', 0.932)","('과납', 0.908)","('미납 이용정지', 0.9)",9,SKT미납센터연락처(0.492524535),미납이용정지(0.4628523),미납직권해지(0.4450028),"('SKT 미납센터 연락처', 0.731)","('미납 이용정지', 0.696)","('가산금', 0.651)"
계좌번호 보내주세요,"('Sk pay', 0.61)","('Sk pay 결제 방법', 0.607)","('NUGU 서비스 하나은행 금융 기능', 0.605)",9,"SK텔레콤고객센터운영시간(0.8388712)
",,,"('채팅플러스 계좌 송금 서비스', 0.402)",,
미납요금 가상계좌,"('Sk pay', 0.59)","('Sk pay 결제 방법', 0.573)","('Sk pay 가맹점 확인 방법', 0.57)",8,SKT미납센터연락처(0.49205195),미납이용정지(0.45897758),미납직권해지(0.45746097),"('SKT 미납센터 연락처', 0.627)","('미납 이용정지', 0.49)","('과납', 0.467)"
약정 가입,"('선택약정 할인제도 가입 조건', 0.833)","('요금약정 할인제도', 0.817)","('요금제 추천', 0.814)",8,"요금약정할인제도(0.87811655)
",,,"('요금약정 할인제도', 0.634)","('데이터결합약정할인 신청 방법', 0.494)","('무약정플랜 신청 방법', 0.455)"
음성 잔여량,"('법인폰 요금제 잔여량 조회 방법', 0.891)","('일자별 잔여통화안내', 0.874)","('baro 요금제 잔여량 확인', 0.872)",8,"최근사용량확인방법(0.9065881)
",,,"('일자별 잔여통화안내', 0.541)","('음성 관련', 0.504)","('법인폰 요금제 잔여량 조회 방법', 0.453)"
장기 가입 쿠폰 사용할게,"('장기가입고객 할인제도', 0.97)","('장기 미사용 휴대폰 결제 차단', 0.859)","('휴대폰 결제 장기 미사용 차단 해제 방법', 0.857)",8,T데이터쿠폰등록방법(0.485033425),T데이터쿠폰사용기간(0.4847611),T데이터쿠폰등록기간(0.483813735),"('장기가입고객 할인제도', 0.603)","('데이터 리필하기 쿠폰 유효기간', 0.472)","('T쿠폰 등록 방법', 0.444)"
미납날짜 말일로 변경가능할까요?,"('SKT 미납센터 연락처', 0.922)","('과납', 0.883)","('미납 이용정지', 0.879)",8,SKT미납센터연락처(0.4128106),"미납이용정지(0.4029555)
",,"('요금 납부일 변경 방법', 0.735)","('요금 납부일 확인 방법', 0.598)","('유선 요금 납부일 변경 방법', 0.474)"
