query,n_rank1,n_rank2,n_rank3
데이터 잔여량,"('일자별 잔여통화안내', 0.611)","('데이터 추가 사용 방법', 0.569)","('데이터 문의 관련', 0.555)"
요금 조회,"('조회 관련', 0.608)","('실시간 요금 상세 내역', 0.551)",
상담할래,"('채티 서비스', 0.678)","('전화 상담사 연결', 0.579)","('데이터 문의 관련', 0.538)"
약정재가입,"('선택약정 할인제도 재가입 조건', 0.612)","('요금약정 할인제도', 0.489)","('선택약정 할인제도 약정 기간 변경', 0.465)"
내입금전용계좌,"('단말기 할부금 중도 납부 방법', 0.418)",,
실시간,"('실시간 요금 상세 내역', 0.645)","('위치 관련', 0.476)","('데이터 문의 관련', 0.451)"
로밍 안내 방송 서비스 가입,"('T로밍 도착알리미', 0.461)",,
아리아,"('T전화 음성명령 사용 방법', 0.612)","('NUGU 서비스 음성 인식 기능', 0.439)","('NUGU 서비스 스마트홈 음성 명령', 0.421)"
사이판,"('T괌사이판 옵션 변경', 0.593)","('T괌사이판 요금제 잔여량 확인', 0.565)",
11월요금,"('요금 납부일 확인 방법', 0.41)",,
납부 가능일 등록,"('요금 납부일 변경 방법', 0.766)","('요금 납부일 확인 방법', 0.764)","('유선 요금 납부일 변경 방법', 0.479)"
청구요금,"('실시간 요금 상세 내역', 0.534)","('요금 납부일 확인 방법', 0.526)","('요금 수납 내역 확인 방법', 0.48)"
휴대폰 결제,"('결제 관련', 0.837)","('휴대폰 결제 이용가능 대상', 0.613)","('법인 휴대폰 결제', 0.561)"
재약정,"('요금약정 할인제도', 0.555)","('선택약정 할인제도 재가입 조건', 0.538)","('선택약정 할인제도 약정 기간 변경', 0.434)"
이동전화 가입,"('이동전화 가입 (타사)', 0.809)","('신규가입 구비서류', 0.633)","('개통 관련', 0.562)"
가상계좌보내주세요,"('채팅플러스 계좌 송금 서비스', 0.477)",,
국제전화,"('국제전화 알림 Biz 레터링', 0.701)","('국제전화 청구 주기', 0.599)","('로밍 중 국제전화카드 사용', 0.576)"
약정할인신청,"('요금약정 할인제도', 0.584)","('T지원금 약정', 0.507)","('데이터결합약정할인 신청 방법', 0.498)"
납부방법,"('결제 관련', 0.612)","('요금 부분 납부 방법', 0.599)","('단말기 할부금 중도 납부 방법', 0.591)"
납부날짜,"('요금 납부일 확인 방법', 0.8)","('요금 납부일 변경 방법', 0.69)","('단말기 할부금 중도 납부 방법', 0.512)"
선물 받은 쿠폰,"('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.515)","('데이터 리필하기 선물 받은 리필 쿠폰 소멸', 0.498)","('데이터 리필하기 쿠폰 제공', 0.468)"
미납 문의,"('SKT 미납센터 연락처', 0.751)","('미납 이용정지', 0.668)","('과납', 0.659)"
번호도용,"('번호도용문자차단', 0.657)","('명의도용', 0.637)","('휴대폰번호보호', 0.507)"
당월요금,"('요금제문의', 0.578)","('실시간 요금 상세 내역', 0.559)","('요금 납부일 확인 방법', 0.519)"
계좌번호 주세요,"('자동납부번호 확인 방법', 0.472)",,
데이터 쿠폰,"('T데이터 쿠폰 구매 방법', 0.679)","('데이터 문의 관련', 0.678)","('T쿠폰', 0.6)"
타인카드결제,"('동일 신용카드 월 5회 수납 제한', 0.498)","('휴대폰 결제 이용가능 대상', 0.484)","('T로밍 카드 타인 양도', 0.419)"
로밍서비스,"('T로밍 고객센터', 0.578)","('가족 로밍', 0.539)","('미성년자 로밍', 0.479)"
세븐틴,"('SK 세븐모바일', 0.444)","('ZEM', 0.426)","('0프로그램', 0.426)"
휴대폰 결제 문의 안내,"('결제 관련', 0.757)","('휴대폰 결제 이용가능 대상', 0.564)","('휴대폰결제 이용동의 신청 방법', 0.524)"
또 누구는 내가 너무 착하대,"('상담사 칭찬 방법', 0.438)",,
미납 요금,"('미납 이용정지', 0.729)","('SKT 미납센터 연락처', 0.702)","('과납', 0.664)"
실시간이용요금,"('실시간 요금 상세 내역', 0.787)","('요금제문의', 0.457)","('최근 사용량 확인 방법', 0.455)"
계좌번호 알려주세요,"('자동납부번호 확인 방법', 0.488)",,
선택약정할인 연장,"('선택약정 할인제도 약정 기간 변경', 0.617)","('선택약정 할인제도 재가입 조건', 0.543)","('선택약정 할인제도 해지 방법', 0.516)"
선택약정 신청,,,
미납요금조회,"('SKT 미납센터 연락처', 0.757)","('미납 이용정지', 0.72)","('가산금', 0.509)"
부재중전화,"('통화중대기 서비스', 0.632)","('T_부재중안내', 0.557)","('콜키퍼', 0.502)"
소액결제한도,"('법인 휴대폰 결제 이용 한도', 0.656)","('애플 콘텐츠 이용료 결제 이용 한도', 0.623)","('060정보료 한도제', 0.488)"
소액결제 한도,"('법인 휴대폰 결제 이용 한도', 0.701)","('애플 콘텐츠 이용료 결제 이용 한도', 0.621)","('060정보료 한도제', 0.484)"
상담사좀 불러줘,"('전화 상담사 연결', 0.878)","('SK텔레콤 고객센터 운영 시간', 0.607)","('채티 서비스', 0.429)"
약정가입,"('요금약정 할인제도', 0.698)","('데이터결합약정할인 신청 방법', 0.536)","('선택약정 할인제도 가입 조건', 0.528)"
요금안내서,"('요금안내서 변경 방법', 0.71)","('요금안내서 재발행 방법', 0.568)","('요금안내서 발행유형 자동 변경 해제 방법', 0.541)"
10월달요금,"('요금 납부일 확인 방법', 0.481)","('실시간 요금 상세 내역', 0.409)","('요금 납부일 변경 방법', 0.404)"
전화번호,"('제조사 AS 센터 연락처', 0.621)","('전화 상담사 연결', 0.603)","('휴대폰 관련', 0.56)"
상담사 불러,"('전화 상담사 연결', 0.818)","('SK텔레콤 고객센터 운영 시간', 0.615)","('가입상담 예약 방법', 0.419)"
콘텐츠 이용료,"('콘텐츠 이용료 가능 대상', 0.661)","('애플 콘텐츠 이용료', 0.578)","('Wavve 콘텐츠 팩', 0.538)"
약정할인 신청,"('데이터결합약정할인 신청 방법', 0.421)",,
부탁드려요,"('채티 서비스', 0.525)","('전화 상담사 연결', 0.518)","('메시지 관련', 0.495)"
요금청구서,"('요금안내서 변경 방법', 0.681)","('요금안내서 재발행 방법', 0.654)","('요금안내서 발행유형 자동 변경 해제 방법', 0.535)"
일본 로밍,"('가족 로밍', 0.545)","('미성년자 로밍', 0.496)","('로밍 요금 확인 시점', 0.421)"
실시간 요금,"('실시간 요금 상세 내역', 0.871)","('요금제문의', 0.499)","('로밍 요금 확인 시점', 0.426)"
일본로밍,"('가족 로밍', 0.546)","('미성년자 로밍', 0.497)",
운영시간,"('SK텔레콤 고객센터 운영 시간', 0.749)","('영업장 위치 확인', 0.462)","('고장 실패 관련', 0.449)"
계좌번호 302 0028 3069 61,,,
휴대폰결제한도변경,"('법인 휴대폰 결제 이용 한도', 0.552)","('애플 콘텐츠 이용료 결제 이용 한도', 0.488)",
자녀 선택약정,"('미성년자 관련', 0.533)","('T자녀안심', 0.484)","('T청소년안심서비스', 0.456)"
t올케어 해지,"('단말보험 해지 방법', 0.451)",,
소액결제 한도 상향,"('법인 휴대폰 결제 이용 한도', 0.611)","('애플 콘텐츠 이용료 결제 이용 한도', 0.532)","('휴대폰 결제 이용 제한 방법', 0.407)"
번호도용차단,"('번호도용문자차단', 0.726)","('익명호 수신거부 서비스', 0.475)","('발신번호 관련', 0.471)"
제주신항,"('제주도 프리', 0.581)",,
가상계좌번호 주세요,"('채팅플러스 계좌 송금 서비스', 0.405)",,
미납요금납부가능일등록,"('요금 납부일 확인 방법', 0.691)","('요금 납부일 변경 방법', 0.647)","('SKT 미납센터 연락처', 0.479)"
상담자,"('전화 상담사 연결', 0.766)","('채티 서비스', 0.58)","('SK텔레콤 고객센터 운영 시간', 0.533)"
미납요금결제,"('과납', 0.671)","('미납 이용정지', 0.651)","('SKT 미납센터 연락처', 0.626)"
25일 납부가능,"('단말기 할부금 중도 납부 방법', 0.557)","('요금 납부일 확인 방법', 0.556)","('요금 납부일 변경 방법', 0.532)"
미납요금요,"('SKT 미납센터 연락처', 0.731)","('미납 이용정지', 0.696)","('가산금', 0.651)"
11월27일 납부가능합니다.,"('요금 납부일 확인 방법', 0.578)","('요금 납부일 변경 방법', 0.539)","('단말기 할부금 중도 납부 방법', 0.505)"
계좌번호 보내주세요,"('채팅플러스 계좌 송금 서비스', 0.402)",,
납부가능일자,"('요금 납부일 확인 방법', 0.831)","('요금 납부일 변경 방법', 0.746)","('단말기 할부금 중도 납부 방법', 0.508)"
장기 가입 쿠폰 사용할게,"('장기가입고객 할인제도', 0.603)","('데이터 리필하기 쿠폰 유효기간', 0.472)","('T쿠폰 등록 방법', 0.444)"
콘텐츠이용료,"('콘텐츠 이용료 가능 대상', 0.643)","('애플 콘텐츠 이용료', 0.551)","('콘텐츠 이용료 구매내역 확인 방법', 0.53)"
카드로 납부,"('T로밍 카드 결제 수단', 0.58)","('OK캐쉬백 납부', 0.573)","('요금 부분 납부 방법', 0.553)"
타인카드납부,"('동일 신용카드 월 5회 수납 제한', 0.533)","('T로밍 카드 타인 양도', 0.441)",
핸드폰결제,"('결제 관련', 0.797)","('휴대폰 결제 이용가능 대상', 0.619)","('휴대폰결제 이용동의 신청 방법', 0.601)"
상담사와,"('전화 상담사 연결', 0.827)","('SK텔레콤 고객센터 운영 시간', 0.569)","('채티 서비스', 0.502)"
미납날짜 말일로 변경가능할까요?,"('요금 납부일 변경 방법', 0.735)","('요금 납부일 확인 방법', 0.598)","('유선 요금 납부일 변경 방법', 0.474)"
01094203667 1기가 선물,"('baro 1GB 충전', 0.403)",,
납부가능일 입력,"('요금 납부일 확인 방법', 0.793)","('요금 납부일 변경 방법', 0.756)","('유선 요금 납부일 변경 방법', 0.443)"
약정 가입,"('요금약정 할인제도', 0.634)","('데이터결합약정할인 신청 방법', 0.494)","('무약정플랜 신청 방법', 0.455)"
t전화 해제,"('T전화 탈퇴 및 서비스 미사용', 0.718)","('T전화 모드 유지', 0.514)","('T전화채티대화이력삭제', 0.485)"
미납요금 문의,"('SKT 미납센터 연락처', 0.767)","('미납 이용정지', 0.701)","('과납', 0.635)"
음성 잔여량,"('일자별 잔여통화안내', 0.541)","('음성 관련', 0.504)","('법인폰 요금제 잔여량 조회 방법', 0.453)"
요금제 해지,"('요금제 변경', 0.542)","('이동전화 해지 방법', 0.535)","('철회', 0.526)"
선택약정할인신청,"('선택약정 할인 중복 가입 가능 상품', 0.446)","('선택약정 할인제도 가입 조건', 0.437)","('선택약정 할인제도 해지 방법', 0.402)"
미납요금 가상계좌,"('SKT 미납센터 연락처', 0.627)","('미납 이용정지', 0.49)","('과납', 0.467)"
계좌 번호,"('자동납부번호 확인 방법', 0.547)","('다른 번호 문의', 0.489)","('연결 관련', 0.408)"
카드수납,"('상품권 수납', 0.59)","('결제 관련', 0.565)","('T로밍 카드 결제 수단', 0.539)"
미납납부,"('과납', 0.733)","('미납 이용정지', 0.706)","('SKT 미납센터 연락처', 0.705)"
휴대폰 결제 한도,"('법인 휴대폰 결제 이용 한도', 0.739)","('애플 콘텐츠 이용료 결제 이용 한도', 0.648)","('060정보료 한도제', 0.476)"
미납요금 납부 가능일 등록,"('요금 납부일 확인 방법', 0.621)","('요금 납부일 변경 방법', 0.612)","('SKT 미납센터 연락처', 0.481)"
홍콩에서 3일간 로밍을 하고 싶은데 어떤 서비스가  좋은지 알려주세요?,,,
소액결제 한도변경,"('법인 휴대폰 결제 이용 한도', 0.618)","('애플 콘텐츠 이용료 결제 이용 한도', 0.52)","('휴대폰 결제 이용 제한 방법', 0.401)"
미납요금 납부가능일 등록,"('요금 납부일 변경 방법', 0.622)","('요금 납부일 확인 방법', 0.598)","('SKT 미납센터 연락처', 0.474)"
내요금제,"('요금제문의', 0.648)","('VIP 요금제 프로그램', 0.438)","('유선 인터넷 요금제', 0.428)"
즉시결제,"('결제 관련', 0.635)","('간편결제 서비스', 0.438)","('통신과금 선결제', 0.426)"
약정할인 연장,"('선택약정 할인제도 약정 기간 변경', 0.595)","('요금약정 할인제도', 0.536)","('연장 관련', 0.522)"
부재중,"('통화중대기 서비스', 0.544)","('T_부재중안내', 0.513)","('부가서비스 가입내역 확인 방법', 0.433)"
납부가능날짜,"('요금 납부일 확인 방법', 0.811)","('요금 납부일 변경 방법', 0.737)","('단말기 할부금 중도 납부 방법', 0.508)"
우체국,"('영업장 위치 확인', 0.433)","('요금안내서 주소 변경 방법', 0.412)",
말일납부가능,"('요금 납부일 변경 방법', 0.695)","('요금 납부일 확인 방법', 0.656)","('단말기 할부금 중도 납부 방법', 0.532)"
부가서비스요금,"('부가서비스 가입내역 확인 방법', 0.652)","('통신서비스 요금', 0.626)","('부가 사용 금액', 0.618)"
요금납부 전용계좌,"('요금 부분 납부 방법', 0.485)","('단말기 할부금 중도 납부 방법', 0.472)","('현금영수증 발급 방법', 0.431)"
미납 납부가능일 문의,"('요금 납부일 확인 방법', 0.788)","('요금 납부일 변경 방법', 0.633)","('SKT 미납센터 연락처', 0.472)"
미납가능일,"('요금 납부일 확인 방법', 0.642)","('가산금', 0.6)","('SKT 미납센터 연락처', 0.579)"
인터넷 미납요금,"('SKT 미납센터 연락처', 0.541)","('미납 이용정지', 0.47)","('과납', 0.45)"
미납요금?,"('SKT 미납센터 연락처', 0.732)","('미납 이용정지', 0.656)","('과납', 0.606)"
장기 가입 쿠폰,"('장기가입고객 할인제도', 0.663)","('장기일시정지', 0.466)","('장기 미사용 휴대폰 결제 차단', 0.433)"
미납요금 가능일,"('SKT 미납센터 연락처', 0.642)","('요금 납부일 확인 방법', 0.625)","('가산금', 0.613)"
미납요금관련,"('SKT 미납센터 연락처', 0.751)","('미납 이용정지', 0.717)","('과납', 0.65)"
청구요금알려줘,"('실시간 요금 상세 내역', 0.585)","('법인폰 청구 요금 조회 방법', 0.474)","('요금 수납 내역 확인 방법', 0.428)"
전체금액,"('실시간 요금 상세 내역', 0.492)",,
상담 신청할게,"('전화 상담사 연결', 0.678)","('채티 서비스', 0.601)","('SK텔레콤 고객센터 운영 시간', 0.462)"
소액결제 한도상향,"('법인 휴대폰 결제 이용 한도', 0.532)","('애플 콘텐츠 이용료 결제 이용 한도', 0.464)",
쿠폰 사용,"('데이터 리필하기 쿠폰 유효기간', 0.49)","('T데이터 쿠폰 사용 기간', 0.404)",
납부가능일 설정,"('요금 납부일 변경 방법', 0.801)","('요금 납부일 확인 방법', 0.688)","('유선 요금 납부일 변경 방법', 0.484)"
통화중,"('통화중대기 서비스', 0.75)","('통화중대기 서비스 신청 방법', 0.6)","('전화 관련', 0.51)"
미납 요금 납부 가능일 문의,"('요금 납부일 확인 방법', 0.766)","('요금 납부일 변경 방법', 0.616)","('SKT 미납센터 연락처', 0.487)"
직원상담,"('전화 상담사 연결', 0.716)","('SK텔레콤 고객센터 운영 시간', 0.64)","('채티 서비스', 0.461)"
통화설정,"('제조사 AS 센터 연락처', 0.607)","('전화 관련', 0.547)","('통화품질 관련', 0.534)"
미납요금가능일,"('SKT 미납센터 연락처', 0.639)","('요금 납부일 확인 방법', 0.605)","('미납 이용정지', 0.602)"
부과서비스,"('채티 서비스', 0.515)","('통신서비스 요금', 0.491)","('부가서비스 가입내역 확인 방법', 0.446)"
컨텐츠결제,"('결제 관련', 0.668)","('휴대폰결제 이용차단', 0.552)","('콘텐츠 이용료 가능 대상', 0.524)"
전체요금,"('실시간 요금 상세 내역', 0.504)","('전국민 무한 요금제', 0.463)","('요금제문의', 0.456)"
114가 뭐야?,"('T전화 T114 이용 방법', 0.618)","('전화 상담사 연결', 0.488)","('번호변경안내 서비스', 0.467)"
연락처 가져오기,"('요금안내서 주소 변경 방법', 0.439)",,
신한카드,"('제휴카드 할인', 0.596)","('T멤버십 가맹점 및 사용 방법', 0.482)","('동일 신용카드 월 5회 수납 제한', 0.435)"
약정할인연장,"('연장 관련', 0.538)","('요금약정 할인제도', 0.536)","('선택약정 할인제도 약정 기간 변경', 0.536)"
사용요금,"('실시간 요금 상세 내역', 0.614)","('부가 사용 금액', 0.575)","('요금제문의', 0.536)"
요금안내서 설정,"('요금안내서 변경 방법', 0.575)","('제조사 AS 센터 연락처', 0.419)",
자녀 선택약정할인 신청,,,
데이터잔량,"('데이터 문의 관련', 0.638)","('데이터 추가 사용 방법', 0.62)","('자녀 데이터 사용량 조회 방법', 0.564)"
브로드밴드,"('T플러스B인터넷', 0.612)","('SK브로드밴드 고객센터', 0.544)","('band 데이터 요금제', 0.522)"
선택약정연장,"('연장 관련', 0.592)","('선택약정 할인제도 약정 기간 변경', 0.586)","('선택약정 할인제도 재가입 조건', 0.558)"
데이터 속도,"('속도 관련', 0.936)","('휴대폰 데이터 속도 저하 조치 방법', 0.597)","('데이터 문의 관련', 0.476)"
부가세,"('세금계산서 신청 방법', 0.533)","('부가 사용 금액', 0.493)","('단말기 할부', 0.434)"
문자보내줘,"('메시지 관련', 0.83)","('문자메시지 서비스', 0.689)","('MMS', 0.662)"
선택약정신청,"('선택약정 할인제도 가입 조건', 0.491)","('선택약정 할인 중복 가입 가능 상품', 0.42)",
해외전화차단,"('국제전화수신거부 서비스', 0.598)","('데이터 로밍 차단 시 통화 문자 이용', 0.527)","('차단 관련', 0.416)"
요금납부계좌,"('자동납부번호 확인 방법', 0.545)","('요금 수납 내역 확인 방법', 0.508)","('요금 납부일 확인 방법', 0.462)"
근데 급여일이 오늘인 10일에서 15 일로 변경돼었습니다,"('요금 납부일 변경 방법', 0.615)","('요금 납부일 확인 방법', 0.452)",
상담신청,"('전화 상담사 연결', 0.667)","('채티 서비스', 0.553)","('SK텔레콤 고객센터 운영 시간', 0.491)"
타인카드 결제,"('동일 신용카드 월 5회 수납 제한', 0.495)","('휴대폰 결제 이용가능 대상', 0.47)","('결제 관련', 0.419)"
로밍하려구요,"('가족 로밍', 0.646)","('미성년자 로밍', 0.609)","('T로밍 고객센터', 0.504)"
미납요금납부가능일 문의,"('요금 납부일 확인 방법', 0.739)","('요금 납부일 변경 방법', 0.632)","('SKT 미납센터 연락처', 0.478)"
통신사 확인,"('타 통신사 고객센터', 0.749)","('이동전화 가입 (타사)', 0.437)",
요금 미납,"('과납', 0.666)","('미납 이용정지', 0.649)","('SKT 미납센터 연락처', 0.635)"
상담요,"('전화 상담사 연결', 0.701)","('채티 서비스', 0.625)","('SK텔레콤 고객센터 운영 시간', 0.543)"
실시간 이용요금,"('실시간 요금 상세 내역', 0.837)","('최근 사용량 확인 방법', 0.468)","('요금제문의', 0.437)"
핸드폰 보험,"('분실파손보험', 0.776)","('단말 보험 가입 방법', 0.745)","('휴대폰 보험 보상 신청 방법', 0.625)"
선택약정할인 신청,,,
상담 감사합니다,"('채티 서비스', 0.693)","('데이터 문의 관련', 0.547)","('전화 상담사 연결', 0.541)"
고지서,"('요금안내서 변경 방법', 0.601)","('요금안내서 발행유형 자동 변경 해제 방법', 0.581)","('요금안내서 재발행 방법', 0.534)"
계좌보내주세요,"('채팅플러스 계좌 송금 서비스', 0.452)",,
다른번호,"('다른 번호 문의', 0.877)","('미성년자 관련', 0.576)","('자녀 요금 조회 방법', 0.558)"
상담사문의,"('전화 상담사 연결', 0.744)","('채티 서비스', 0.654)","('SK텔레콤 고객센터 운영 시간', 0.529)"
11월30일 납부 가능합니다,"('요금 납부일 확인 방법', 0.631)","('요금 납부일 변경 방법', 0.562)","('단말기 할부금 중도 납부 방법', 0.557)"
핸드폰보험,"('분실파손보험', 0.759)","('단말 보험 가입 방법', 0.711)","('휴대폰 보험 보상 신청 방법', 0.578)"
25일 납부 가능합니다,"('단말기 할부금 중도 납부 방법', 0.608)","('요금 납부일 확인 방법', 0.542)","('요금 납부일 변경 방법', 0.515)"
계좌번호주세요,"('자동납부번호 확인 방법', 0.464)",,
미납일,"('요금 납부일 확인 방법', 0.705)","('SKT 미납센터 연락처', 0.574)","('미납 이용정지', 0.556)"
요금 내려구요 가상계좌 번호 부탁요 카카오 뱅크로 알려주세요,"('자동납부번호 확인 방법', 0.427)",,
계좌주세요,,,
해외에서 사용한 금액에 대해 월별로 보내 주시면 감사드리겠습니다,"('T로밍 청구내역서', 0.713)","('로밍 요금 확인 시점', 0.532)","('수납이력서 재발행 방법', 0.466)"
3개월치 납입고지서를 팩스로 받고싶습니다,"('수납이력서 재발행 방법', 0.618)","('요금안내서 재발행 방법', 0.605)","('요금안내서 발행유형 자동 변경 해제 방법', 0.593)"
청구서보내요,"('요금안내서 변경 방법', 0.674)","('요금안내서 발행유형 자동 변경 해제 방법', 0.587)","('요금안내서 재발행 방법', 0.557)"
상담자와 상담 시작,"('전화 상담사 연결', 0.774)","('SK텔레콤 고객센터 운영 시간', 0.511)","('채티 서비스', 0.427)"
기본형,"('베이직', 0.609)","('원패스 VIP 기본형', 0.577)","('표준 요금제', 0.494)"
계좌번호 302 0028 3069 61 서영태,,,
대리점 납부가 가능한가요,"('편의점 요금 납부', 0.635)","('요금 부분 납부 방법', 0.517)","('단말기 할부금 중도 납부 방법', 0.509)"
부가세는 4천원에서 5천으로 왜 변경된건가요!,,,
유심추가,"('USIM 카드 구매 방법', 0.681)","('USIM기변 방법', 0.614)","('추가 관련', 0.545)"
폰요금,"('요금제문의', 0.674)","('단말기 할부', 0.551)","('결제 관련', 0.491)"
납부가능일지정,"('요금 납부일 변경 방법', 0.781)","('요금 납부일 확인 방법', 0.763)","('유선 요금 납부일 변경 방법', 0.471)"
약정할인이 끝났는데 약정재계약을 하고싶어요,"('선택약정 할인제도 재가입 조건', 0.588)","('선택약정 할인제도 약정 기간 변경', 0.536)","('요금약정 할인제도', 0.529)"
Girls Generation,"('미성년자 관련', 0.652)","('0청년 요금제', 0.528)","('T끼리 데이터 선물하기 연령', 0.477)"
또 누구는 내가 너무 착하데,"('NUGU 서비스', 0.407)",,
상담사연결요망,"('전화 상담사 연결', 0.85)","('SK텔레콤 고객센터 운영 시간', 0.542)","('연결 관련', 0.494)"
미납요금 조회,"('미납 이용정지', 0.616)","('SKT 미납센터 연락처', 0.61)","('미납 직권해지', 0.45)"
아이폰 15,"('아이폰 관련', 0.547)","('분실파손 i150', 0.435)","('휴대폰 관련', 0.434)"
청소년,"('미성년자 관련', 0.876)","('T청소년안심서비스', 0.63)","('T청소년 안심팩 서비스', 0.572)"
114 문의,"('전화 상담사 연결', 0.661)","('T전화 T114 이용 방법', 0.594)","('SK텔레콤 고객센터 운영 시간', 0.435)"
기업은행이요,"('ZEM', 0.404)",,
t로밍,"('가족 로밍', 0.648)","('미성년자 로밍', 0.581)","('T로밍 고객센터', 0.525)"
플로가입,"('FLO 신청 방법', 0.759)","('FLO', 0.639)","('FLO 이용 방법', 0.609)"
미납요금이요,"('SKT 미납센터 연락처', 0.704)","('미납 이용정지', 0.687)","('과납', 0.629)"
납부가능일 문의합니다,"('요금 납부일 확인 방법', 0.873)","('요금 납부일 변경 방법', 0.76)","('휴대폰 개통일 확인 방법', 0.491)"
내요금제확인,"('요금제문의', 0.597)","('실시간 요금 상세 내역', 0.416)",
콘텐츠 이용료 조회,"('콘텐츠 이용료 구매내역 확인 방법', 0.531)","('조회 관련', 0.432)",
가족결합 추가,"('T끼리 온가족할인제도 가족 추가', 0.677)","('요즘가족결합 가족 추가', 0.647)","('추가 관련', 0.611)"
요금금액,"('요금제문의', 0.759)","('결제 관련', 0.512)","('데이터통화료 상한제도', 0.506)"
핸드폰 결제한도,"('애플 콘텐츠 이용료 결제 이용 한도', 0.679)","('법인 휴대폰 결제 이용 한도', 0.671)","('060정보료 한도제', 0.477)"
상담 요금조회,"('실시간 요금 상세 내역', 0.567)","('요금제문의', 0.553)","('조회 관련', 0.523)"
약정 할인,"('요금약정 할인제도', 0.732)","('데이터결합약정할인', 0.553)","('선택약정 할인제도 가입 조건', 0.475)"
