query,MTL_rank1,MTL_rank2,MTL_rank3
납부날짜,"('요금 납부일 확인 방법', 0.826)","('요금 납부일 변경 방법', 0.739)","('요금 수납 내역 확인 방법', 0.56)"
선물 받은 쿠폰,"('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.571)","('데이터 리필하기 선물 받은 리필 쿠폰 소멸', 0.486)",
미납 문의,"('SKT 미납센터 연락처', 0.767)","('미납 이용정지', 0.689)","('가산금', 0.653)"
번호도용,"('번호도용문자차단', 0.694)","('명의도용', 0.597)","('번호도용문자차단 신청 방법', 0.507)"
당월요금,"('요금제문의', 0.64)","('실시간 요금 상세 내역', 0.581)","('요금 납부일 확인 방법', 0.451)"
계좌번호 주세요,"('자동납부번호 확인 방법', 0.458)",,
데이터 쿠폰,"('데이터 문의 관련', 0.774)","('데이터 추가 사용 방법', 0.616)","('T데이터 쿠폰 구매 방법', 0.547)"
타인카드결제,"('동일 신용카드 월 5회 수납 제한', 0.478)","('휴대폰 결제 이용가능 대상', 0.474)","('T로밍 카드 타인 양도', 0.423)"
로밍서비스,"('T로밍 고객센터', 0.605)","('가족 로밍', 0.566)","('T로밍 Biz 요금제', 0.55)"
세븐틴,"('게임 관련', 0.472)","('SK 세븐모바일', 0.45)","('음악 관련', 0.448)"
휴대폰 결제 문의 안내,"('결제 관련', 0.737)","('휴대폰 결제 멤버십', 0.534)","('휴대폰 결제 이용가능 대상', 0.527)"
또 누구는 내가 너무 착하대,,,
미납 요금,"('SKT 미납센터 연락처', 0.693)","('미납 이용정지', 0.682)","('가산금', 0.654)"
실시간이용요금,"('실시간 요금 상세 내역', 0.749)","('요금제문의', 0.463)","('데이터통화료 상한제도', 0.405)"
계좌번호 알려주세요,"('자동납부번호 확인 방법', 0.498)",,
선택약정할인 연장,"('선택약정 할인제도 약정 기간 변경', 0.643)","('선택약정 할인제도 만료 SMS 발송 시기', 0.482)","('연장 관련', 0.46)"
선택약정 신청,"('선택약정 할인제도 해지 방법', 0.446)","('선택약정 할인제도 가입 조건', 0.406)",
미납요금조회,"('SKT 미납센터 연락처', 0.728)","('미납 이용정지', 0.613)","('과납', 0.514)"
부재중전화,"('통화중대기 서비스', 0.553)","('콜키퍼', 0.528)","('T_부재중안내', 0.493)"
소액결제한도,"('법인 휴대폰 결제 이용 한도', 0.638)","('애플 콘텐츠 이용료 결제 이용 한도', 0.624)","('휴대폰 결제 이용 제한 방법', 0.544)"
소액결제 한도,"('법인 휴대폰 결제 이용 한도', 0.709)","('애플 콘텐츠 이용료 결제 이용 한도', 0.617)","('060정보료 한도제', 0.539)"
상담사좀 불러줘,"('전화 상담사 연결', 0.878)","('SK텔레콤 고객센터 운영 시간', 0.622)","('제조사 AS 센터 연락처', 0.466)"
약정가입,"('요금약정 할인제도', 0.579)","('선택약정 할인제도 가입 조건', 0.455)","('데이터결합약정할인 신청 방법', 0.439)"
요금안내서,"('요금안내서 변경 방법', 0.704)","('요금안내서 재발행 방법', 0.547)","('요금안내서 발행유형 자동 변경 해제 방법', 0.448)"
10월달요금,"('요금제문의', 0.442)","('실시간 요금 상세 내역', 0.425)",
전화번호,"('제조사 AS 센터 연락처', 0.683)","('전화 상담사 연결', 0.609)","('전화 관련', 0.57)"
상담사 불러,"('전화 상담사 연결', 0.84)","('SK텔레콤 고객센터 운영 시간', 0.685)","('제조사 AS 센터 연락처', 0.471)"
콘텐츠 이용료,"('콘텐츠 이용료 가능 대상', 0.578)","('애플 콘텐츠 이용료', 0.536)","('콘텐츠 이용료 구매내역 확인 방법', 0.534)"
약정할인 신청,"('데이터결합약정할인 신청 방법', 0.469)",,
부탁드려요,"('전화 상담사 연결', 0.517)","('채티 서비스', 0.515)","('ZEM', 0.415)"
요금청구서,"('요금안내서 재발행 방법', 0.661)","('요금안내서 변경 방법', 0.658)","('각종업무구비서류', 0.491)"
일본 로밍,"('가족 로밍', 0.561)","('미성년자 로밍', 0.509)",
실시간 요금,"('실시간 요금 상세 내역', 0.848)","('요금제문의', 0.473)","('최근 사용량 확인 방법', 0.41)"
일본로밍,"('가족 로밍', 0.537)","('미성년자 로밍', 0.487)",
운영시간,"('SK텔레콤 고객센터 운영 시간', 0.723)",,
계좌번호 302 0028 3069 61,"('자동납부번호 확인 방법', 0.459)",,
휴대폰결제한도변경,"('법인 휴대폰 결제 이용 한도', 0.513)","('애플 콘텐츠 이용료 결제 이용 한도', 0.475)","('휴대폰결제 이용 제한 해제 방법', 0.473)"
자녀 선택약정,"('미성년자 관련', 0.502)","('다른 번호 문의', 0.478)","('T청소년 안심팩 서비스', 0.414)"
t올케어 해지,"('단말보험 해지 방법', 0.697)","('T All케어플러스 포인트 서비스 해지 방법', 0.448)","('T 아이폰케어 해지 방법', 0.446)"
소액결제 한도 상향,"('법인 휴대폰 결제 이용 한도', 0.616)","('애플 콘텐츠 이용료 결제 이용 한도', 0.583)","('휴대폰 결제 이용 제한 방법', 0.444)"
번호도용차단,"('번호도용문자차단', 0.703)","('발신번호 관련', 0.49)","('번호도용문자차단 신청 방법', 0.456)"
제주신항,"('제주도 프리', 0.486)",,
가상계좌번호 주세요,,,
미납요금납부가능일등록,"('요금 납부일 확인 방법', 0.606)","('요금 납부일 변경 방법', 0.6)","('SKT 미납센터 연락처', 0.483)"
상담자,"('전화 상담사 연결', 0.715)","('SK텔레콤 고객센터 운영 시간', 0.592)","('채티 서비스', 0.536)"
미납요금결제,"('과납', 0.67)","('SKT 미납센터 연락처', 0.616)","('미납 이용정지', 0.551)"
25일 납부가능,"('요금 납부일 확인 방법', 0.624)","('단말기 할부금 중도 납부 방법', 0.598)","('요금 납부일 변경 방법', 0.586)"
미납요금요,"('SKT 미납센터 연락처', 0.747)","('미납 이용정지', 0.653)","('가산금', 0.642)"
11월27일 납부가능합니다.,"('요금 납부일 확인 방법', 0.636)","('단말기 할부금 중도 납부 방법', 0.615)","('요금 납부일 변경 방법', 0.569)"
계좌번호 보내주세요,,,
납부가능일자,"('요금 납부일 확인 방법', 0.856)","('요금 납부일 변경 방법', 0.738)","('요금 수납 내역 확인 방법', 0.548)"
장기 가입 쿠폰 사용할게,"('장기가입고객 할인제도', 0.552)","('데이터 리필하기 쿠폰 유효기간', 0.437)","('데이터 리필하기 데이터 음성 사용 기간', 0.405)"
콘텐츠이용료,"('콘텐츠 이용료 가능 대상', 0.553)","('콘텐츠 이용료 구매내역 확인 방법', 0.501)","('애플 콘텐츠 이용료', 0.448)"
카드로 납부,"('OK캐쉬백 납부', 0.604)","('요금 부분 납부 방법', 0.592)","('편의점 요금 납부', 0.576)"
타인카드납부,"('동일 신용카드 월 5회 수납 제한', 0.522)","('T로밍 카드 타인 양도', 0.455)",
핸드폰결제,"('결제 관련', 0.761)","('휴대폰결제 이용동의 신청 방법', 0.677)","('휴대폰결제이용차단신청방법', 0.595)"
상담사와,"('전화 상담사 연결', 0.795)","('SK텔레콤 고객센터 운영 시간', 0.608)","('채티 서비스', 0.462)"
미납날짜 말일로 변경가능할까요?,"('요금 납부일 변경 방법', 0.723)","('요금 납부일 확인 방법', 0.479)","('자동납부 해지 방법', 0.471)"
01094203667 1기가 선물,,,
납부가능일 입력,"('요금 납부일 확인 방법', 0.833)","('요금 납부일 변경 방법', 0.801)","('요금 수납 내역 확인 방법', 0.462)"
약정 가입,"('요금약정 할인제도', 0.582)","('데이터결합약정할인 신청 방법', 0.433)","('무약정플랜 신청 방법', 0.408)"
t전화 해제,"('T전화 탈퇴 및 서비스 미사용', 0.679)","('T전화채티대화이력삭제', 0.519)","('T전화 모드 유지', 0.518)"
미납요금 문의,"('SKT 미납센터 연락처', 0.751)","('미납 이용정지', 0.668)","('가산금', 0.666)"
음성 잔여량,"('일자별 잔여통화안내', 0.502)","('음성 관련', 0.445)","('baro 요금제 잔여량 확인', 0.434)"
요금제 해지,"('요금제 변경', 0.612)","('요금제문의', 0.496)","('이동전화 해지 방법', 0.447)"
선택약정할인신청,"('선택약정 할인제도 가입 조건', 0.45)",,
미납요금 가상계좌,"('SKT 미납센터 연락처', 0.608)","('요금 수납 내역 확인 방법', 0.443)","('요금 부분 납부 방법', 0.416)"
계좌 번호,"('자동납부번호 확인 방법', 0.544)",,
카드수납,"('OK캐쉬백 납부', 0.557)","('T로밍 카드 결제 수단', 0.536)","('통신과금 선결제 이용 방법', 0.533)"
미납납부,"('SKT 미납센터 연락처', 0.726)","('과납', 0.698)","('미납 이용정지', 0.648)"
휴대폰 결제 한도,"('법인 휴대폰 결제 이용 한도', 0.738)","('애플 콘텐츠 이용료 결제 이용 한도', 0.639)","('060정보료 한도제', 0.537)"
미납요금 납부 가능일 등록,"('요금 납부일 변경 방법', 0.639)","('요금 납부일 확인 방법', 0.615)","('SKT 미납센터 연락처', 0.509)"
홍콩에서 3일간 로밍을 하고 싶은데 어떤 서비스가  좋은지 알려주세요?,"('T로밍 카드 종류', 0.408)","('자동안심 T로밍', 0.403)",
소액결제 한도변경,"('법인 휴대폰 결제 이용 한도', 0.626)","('애플 콘텐츠 이용료 결제 이용 한도', 0.524)","('060정보료 한도제', 0.464)"
미납요금 납부가능일 등록,"('요금 납부일 변경 방법', 0.624)","('요금 납부일 확인 방법', 0.582)","('SKT 미납센터 연락처', 0.511)"
내요금제,"('요금제문의', 0.611)","('요금제 추천', 0.507)",
즉시결제,"('결제 관련', 0.606)","('간편결제 서비스', 0.483)","('Sk pay', 0.432)"
약정할인 연장,"('선택약정 할인제도 약정 기간 변경', 0.547)","('요금약정 할인제도', 0.53)","('연장 관련', 0.436)"
부재중,"('제조사 AS 센터 연락처', 0.553)","('통화중대기 서비스', 0.505)","('콜키퍼', 0.449)"
납부가능날짜,"('요금 납부일 확인 방법', 0.847)","('요금 납부일 변경 방법', 0.757)","('요금 수납 내역 확인 방법', 0.548)"
우체국,"('영업장 위치 확인', 0.434)","('요금안내서 주소 변경 방법', 0.433)",
말일납부가능,"('요금 납부일 변경 방법', 0.742)","('요금 납부일 확인 방법', 0.701)","('단말기 할부금 중도 납부 방법', 0.5)"
부가서비스요금,"('부가서비스 가입내역 확인 방법', 0.665)","('부가 사용 금액', 0.661)","('통신서비스 요금', 0.54)"
요금납부 전용계좌,"('요금 부분 납부 방법', 0.549)","('요금 수납 내역 확인 방법', 0.517)","('단말기 할부금 중도 납부 방법', 0.488)"
미납 납부가능일 문의,"('요금 납부일 확인 방법', 0.812)","('요금 납부일 변경 방법', 0.644)","('요금 수납 내역 확인 방법', 0.525)"
미납가능일,"('요금 납부일 확인 방법', 0.636)","('미납 이용정지', 0.591)","('SKT 미납센터 연락처', 0.574)"
인터넷 미납요금,"('SKT 미납센터 연락처', 0.523)","('미납 이용정지', 0.464)","('가산금', 0.461)"
미납요금?,"('SKT 미납센터 연락처', 0.712)","('미납 이용정지', 0.657)","('가산금', 0.649)"
장기 가입 쿠폰,"('장기가입고객 할인제도', 0.628)","('장기일시정지', 0.425)","('데이터 리필하기 쿠폰 유효기간', 0.422)"
미납요금 가능일,"('요금 납부일 확인 방법', 0.674)","('SKT 미납센터 연락처', 0.615)","('미납 이용정지', 0.586)"
미납요금관련,"('SKT 미납센터 연락처', 0.736)","('미납 이용정지', 0.69)","('과납', 0.638)"
청구요금알려줘,"('실시간 요금 상세 내역', 0.616)","('요금 수납 내역 확인 방법', 0.459)","('법인폰 청구 요금 조회 방법', 0.459)"
전체금액,"('실시간 요금 상세 내역', 0.51)","('요금제문의', 0.483)","('구매 관련', 0.438)"
상담 신청할게,"('전화 상담사 연결', 0.64)","('채티 서비스', 0.608)","('SK텔레콤 고객센터 운영 시간', 0.464)"
소액결제 한도상향,"('법인 휴대폰 결제 이용 한도', 0.554)","('애플 콘텐츠 이용료 결제 이용 한도', 0.496)","('060정보료 한도제', 0.419)"
쿠폰 사용,"('T쿠폰 등록 방법', 0.442)","('T쿠폰', 0.41)",
납부가능일 설정,"('요금 납부일 변경 방법', 0.857)","('요금 납부일 확인 방법', 0.761)","('유선 요금 납부일 변경 방법', 0.477)"
통화중,"('통화중대기 서비스', 0.79)","('통화중대기 서비스 신청 방법', 0.544)","('통화중대기 서비스 해지 방법', 0.469)"
미납 요금 납부 가능일 문의,"('요금 납부일 확인 방법', 0.807)","('요금 납부일 변경 방법', 0.638)","('요금 수납 내역 확인 방법', 0.563)"
직원상담,"('전화 상담사 연결', 0.749)","('SK텔레콤 고객센터 운영 시간', 0.597)","('상담사 칭찬 방법', 0.527)"
통화설정,"('제조사 AS 센터 연락처', 0.705)","('전화 관련', 0.547)","('T전화 설정 방법', 0.482)"
미납요금가능일,"('요금 납부일 확인 방법', 0.645)","('SKT 미납센터 연락처', 0.636)","('미납 이용정지', 0.571)"
부과서비스,"('가산금', 0.557)","('과납', 0.525)","('요금 수납 내역 확인 방법', 0.478)"
컨텐츠결제,"('결제 관련', 0.71)","('휴대폰결제 이용동의 신청 방법', 0.634)","('휴대폰결제 이용차단', 0.554)"
전체요금,"('실시간 요금 상세 내역', 0.56)","('요금제문의', 0.533)","('통합청구서', 0.411)"
114가 뭐야?,"('T전화 T114 이용 방법', 0.541)","('전화 상담사 연결', 0.522)","('SKT 콜렉트콜 서비스', 0.438)"
연락처 가져오기,"('제조사 AS 센터 연락처', 0.52)","('요금안내서 주소 변경 방법', 0.439)",
신한카드,"('제휴카드 할인', 0.593)","('T멤버십 혜택', 0.487)","('T멤버십 가맹점 및 사용 방법', 0.44)"
약정할인연장,"('요금약정 할인제도', 0.549)","('연장 관련', 0.504)","('선택약정 할인제도 약정 기간 변경', 0.483)"
사용요금,"('실시간 요금 상세 내역', 0.702)","('요금제문의', 0.567)","('부가 사용 금액', 0.493)"
요금안내서 설정,"('요금안내서 변경 방법', 0.525)",,
자녀 선택약정할인 신청,,,
데이터잔량,"('데이터 문의 관련', 0.709)","('데이터 추가 사용 방법', 0.661)","('일자별 잔여통화안내', 0.506)"
브로드밴드,"('band 데이터 요금제', 0.675)","('T플러스B인터넷', 0.598)","('SK브로드밴드 고객센터', 0.537)"
선택약정연장,"('선택약정 할인제도 약정 기간 변경', 0.649)","('연장 관련', 0.557)","('선택약정 할인제도 만료 SMS 발송 시기', 0.493)"
데이터 속도,"('속도 관련', 0.913)","('휴대폰 데이터 속도 저하 조치 방법', 0.633)","('LTE속도제어', 0.527)"
부가세,"('세금계산서 신청 방법', 0.573)","('세금계산서 재발행 방법', 0.466)","('부가 사용 금액', 0.44)"
문자보내줘,"('메시지 관련', 0.823)","('MMS', 0.579)","('문자메시지 서비스', 0.556)"
선택약정신청,"('선택약정 할인 중복 가입 가능 상품', 0.462)","('선택약정 할인제도 가입 조건', 0.461)","('선택약정 할인제도 해지 방법', 0.414)"
해외전화차단,"('국제전화수신거부 서비스', 0.672)","('데이터 로밍 차단 시 통화 문자 이용', 0.539)","('국제전화 발신 금지', 0.5)"
요금납부계좌,"('자동납부번호 확인 방법', 0.561)","('요금 수납 내역 확인 방법', 0.545)","('요금 납부일 확인 방법', 0.477)"
근데 급여일이 오늘인 10일에서 15 일로 변경돼었습니다,"('요금 납부일 변경 방법', 0.584)","('요금 납부일 확인 방법', 0.437)",
상담신청,"('전화 상담사 연결', 0.737)","('채티 서비스', 0.554)","('SK텔레콤 고객센터 운영 시간', 0.545)"
타인카드 결제,"('동일 신용카드 월 5회 수납 제한', 0.501)","('휴대폰 결제 이용가능 대상', 0.446)","('결제 관련', 0.443)"
로밍하려구요,"('가족 로밍', 0.631)","('미성년자 로밍', 0.613)","('T로밍 고객센터', 0.588)"
미납요금납부가능일 문의,"('요금 납부일 확인 방법', 0.759)","('요금 납부일 변경 방법', 0.64)","('요금 수납 내역 확인 방법', 0.49)"
통신사 확인,"('타 통신사 고객센터', 0.691)","('번호이동 제도', 0.481)","('발신번호 관련', 0.435)"
요금 미납,"('과납', 0.639)","('가산금', 0.624)","('미납 이용정지', 0.618)"
상담요,"('채티 서비스', 0.683)","('전화 상담사 연결', 0.57)","('가족 관련', 0.494)"
실시간 이용요금,"('실시간 요금 상세 내역', 0.824)","('요금제문의', 0.427)","('최근 사용량 확인 방법', 0.409)"
핸드폰 보험,"('단말 보험 가입 방법', 0.836)","('분실파손보험', 0.685)","('휴대폰 보험 보상 신청 방법', 0.672)"
선택약정할인 신청,,,
상담 감사합니다,"('채티 서비스', 0.675)","('전화 상담사 연결', 0.539)","('데이터 문의 관련', 0.495)"
고지서,"('요금안내서 변경 방법', 0.64)","('요금안내서 발행유형 자동 변경 해제 방법', 0.561)","('요금안내서 재발행 방법', 0.531)"
계좌보내주세요,"('단말기 할부금 중도 납부 방법', 0.425)",,
다른번호,"('다른 번호 문의', 0.892)","('발신번호 관련', 0.545)","('자녀 요금 조회 방법', 0.544)"
상담사문의,"('전화 상담사 연결', 0.701)","('채티 서비스', 0.616)","('SK텔레콤 고객센터 운영 시간', 0.528)"
11월30일 납부 가능합니다,"('요금 납부일 확인 방법', 0.669)","('단말기 할부금 중도 납부 방법', 0.623)","('요금 납부일 변경 방법', 0.6)"
핸드폰보험,"('단말 보험 가입 방법', 0.812)","('분실파손보험', 0.701)","('휴대폰 보험 보상 신청 방법', 0.654)"
25일 납부 가능합니다,"('단말기 할부금 중도 납부 방법', 0.63)","('요금 납부일 확인 방법', 0.604)","('요금 납부일 변경 방법', 0.57)"
계좌번호주세요,"('자동납부번호 확인 방법', 0.433)",,
미납일,"('요금 납부일 확인 방법', 0.637)","('미납 이용정지', 0.633)","('SKT 미납센터 연락처', 0.612)"
요금 내려구요 가상계좌 번호 부탁요 카카오 뱅크로 알려주세요,"('OK캐쉬백 납부', 0.435)","('채팅플러스 계좌 송금 서비스', 0.42)","('자동납부번호 확인 방법', 0.402)"
계좌주세요,,,
해외에서 사용한 금액에 대해 월별로 보내 주시면 감사드리겠습니다,"('T로밍 청구내역서', 0.726)","('로밍 요금 확인 시점', 0.477)","('수납이력서 재발행 방법', 0.472)"
3개월치 납입고지서를 팩스로 받고싶습니다,"('요금안내서 재발행 방법', 0.692)","('수납이력서 재발행 방법', 0.592)","('요금안내서 변경 방법', 0.562)"
청구서보내요,"('요금안내서 변경 방법', 0.773)","('요금안내서 재발행 방법', 0.601)","('요금안내서 발행유형 자동 변경 해제 방법', 0.579)"
상담자와 상담 시작,"('전화 상담사 연결', 0.77)","('SK텔레콤 고객센터 운영 시간', 0.604)","('상담사 칭찬 방법', 0.452)"
기본형,"('원패스 VIP 기본형', 0.596)","('베이직', 0.551)","('표준 요금제', 0.482)"
계좌번호 302 0028 3069 61 서영태,"('자동납부번호 확인 방법', 0.433)",,
대리점 납부가 가능한가요,"('편의점 요금 납부', 0.692)","('요금 부분 납부 방법', 0.546)","('단말기 할부금 중도 납부 방법', 0.541)"
부가세는 4천원에서 5천으로 왜 변경된건가요!,"('세금계산서 신청 방법', 0.401)",,
유심추가,"('USIM 카드 구매 방법', 0.703)","('USIM기변 방법', 0.701)","('추가 관련', 0.496)"
폰요금,"('요금제문의', 0.729)","('단말기 할부', 0.512)","('가입비', 0.471)"
납부가능일지정,"('요금 납부일 변경 방법', 0.794)","('요금 납부일 확인 방법', 0.781)","('유선 요금 납부일 변경 방법', 0.452)"
약정할인이 끝났는데 약정재계약을 하고싶어요,"('선택약정 할인제도 재가입 조건', 0.577)","('선택약정 할인제도 약정 기간 변경', 0.52)","('요금약정 할인제도', 0.479)"
Girls Generation,"('미성년자 관련', 0.55)","('0청년 요금제', 0.417)",
또 누구는 내가 너무 착하데,,,
상담사연결요망,"('전화 상담사 연결', 0.841)","('SK텔레콤 고객센터 운영 시간', 0.493)","('연결 관련', 0.426)"
미납요금 조회,"('SKT 미납센터 연락처', 0.565)","('미납 이용정지', 0.434)",
아이폰 15,"('분실파손 i150', 0.496)","('아이폰 관련', 0.495)","('0청년 59 15GB업', 0.471)"
청소년,"('미성년자 관련', 0.86)","('T청소년 안심팩 서비스', 0.539)","('T청소년안심서비스', 0.529)"
114 문의,"('전화 상담사 연결', 0.639)","('T전화 T114 이용 방법', 0.492)","('타 통신사 고객센터', 0.457)"
기업은행이요,,,
t로밍,"('T로밍 고객센터', 0.603)","('가족 로밍', 0.603)","('미성년자 로밍', 0.55)"
플로가입,"('FLO 신청 방법', 0.777)","('FLO', 0.703)","('FLO 이용 방법', 0.683)"
미납요금이요,"('SKT 미납센터 연락처', 0.721)","('미납 이용정지', 0.67)","('가산금', 0.659)"
납부가능일 문의합니다,"('요금 납부일 확인 방법', 0.903)","('요금 납부일 변경 방법', 0.74)","('요금 수납 내역 확인 방법', 0.528)"
내요금제확인,"('요금제문의', 0.475)","('실시간 요금 상세 내역', 0.404)",
콘텐츠 이용료 조회,"('콘텐츠 이용료 구매내역 확인 방법', 0.618)","('콘텐츠 이용료 결제 취소 방법', 0.453)",
가족결합 추가,"('T끼리 온가족할인제도 가족 추가', 0.733)","('요즘가족결합 가족 추가', 0.601)","('추가 관련', 0.566)"
요금금액,"('요금제문의', 0.791)","('SK텔레콤 할인 혜택', 0.542)","('실시간 요금 상세 내역', 0.506)"
핸드폰 결제한도,"('애플 콘텐츠 이용료 결제 이용 한도', 0.673)","('법인 휴대폰 결제 이용 한도', 0.636)","('060정보료 한도제', 0.522)"
상담 요금조회,"('요금제문의', 0.612)","('실시간 요금 상세 내역', 0.567)","('요금제 추천', 0.434)"
약정 할인,"('요금약정 할인제도', 0.707)","('데이터결합약정할인', 0.569)","('T지원금 약정', 0.521)"
미납요금납부잉,"('과납', 0.652)","('SKT 미납센터 연락처', 0.65)","('미납 이용정지', 0.608)"
