query,n_rank1,n_rank2,n_rank3
남은 약정 기간,"('단말기 잔여 할부 조회 방법', 0.597)","('연장 관련', 0.48)","('예상 해지 금액', 0.414)"
선택약정 연장,"('선택약정 할인제도 약정 기간 변경', 0.607)","('연장 관련', 0.467)","('선택약정 할인제도 만료 SMS 발송 시기', 0.464)"
휴대폰결제 대행사 연락처,"('휴대폰 결제 대행사 연락처', 0.969)",,
데이터 잔여량,"('데이터 추가 사용 방법', 0.647)","('데이터 문의 관련', 0.636)","('일자별 잔여통화안내', 0.63)"
요금 조회,"('실시간 요금 상세 내역', 0.567)","('요금제문의', 0.489)","('조회 관련', 0.462)"
상담할래,"('채티 서비스', 0.717)","('전화 상담사 연결', 0.537)","('데이터 문의 관련', 0.51)"
약정재가입,"('선택약정 할인제도 재가입 조건', 0.607)","('번호이동 제도', 0.433)","('연장 관련', 0.417)"
내입금전용계좌,,,
실시간,"('실시간 요금 상세 내역', 0.598)","('최근 사용량 확인 방법', 0.457)","('데이터 문의 관련', 0.446)"
로밍 안내 방송 서비스 가입,"('T로밍 고객센터', 0.474)","('T로밍 도착알리미', 0.433)","('자동안심 T로밍 음성', 0.411)"
아리아,"('T전화 음성명령 사용 방법', 0.556)","('NUGU 서비스', 0.531)","('NUGU 서비스 음성 인식 기능', 0.461)"
사이판,"('T괌사이판 옵션 변경', 0.564)","('T괌사이판 요금제 잔여량 확인', 0.506)",
11월요금,,,
납부 가능일 등록,"('요금 납부일 변경 방법', 0.804)","('요금 납부일 확인 방법', 0.784)","('유선 요금 납부일 변경 방법', 0.498)"
청구요금,"('실시간 요금 상세 내역', 0.575)","('요금 납부일 확인 방법', 0.523)","('요금제문의', 0.507)"
휴대폰 결제,"('결제 관련', 0.8)","('휴대폰 결제 이용가능 대상', 0.642)","('법인 휴대폰 결제', 0.603)"
재약정,"('선택약정 할인제도 재가입 조건', 0.544)",,
이동전화 가입,"('이동전화 가입 (타사)', 0.808)","('신규가입 구비서류', 0.614)","('번호이동 제도', 0.556)"
가상계좌보내주세요,"('채팅플러스 계좌 송금 서비스', 0.423)",,
국제전화,"('국제전화 알림 Biz 레터링', 0.64)","('국제전화 사업자 선택', 0.575)","('국제전화 발신 금지', 0.504)"
약정할인신청,,,
납부방법,"('요금 수납 내역 확인 방법', 0.632)","('요금 부분 납부 방법', 0.621)","('단말기 할부금 중도 납부 방법', 0.608)"
납부날짜,"('요금 납부일 확인 방법', 0.854)","('요금 납부일 변경 방법', 0.758)","('요금 수납 내역 확인 방법', 0.581)"
선물 받은 쿠폰,"('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.576)","('데이터 리필하기 선물 받은 리필 쿠폰 소멸', 0.459)","('T끼리 데이터 선물하기 알림', 0.409)"
미납 문의,"('SKT 미납센터 연락처', 0.802)","('가산금', 0.689)","('미납 이용정지', 0.679)"
번호도용,"('번호도용문자차단', 0.725)","('명의도용', 0.602)","('번호도용문자차단 신청 방법', 0.589)"
당월요금,"('요금제문의', 0.671)","('실시간 요금 상세 내역', 0.591)","('요금 납부일 확인 방법', 0.474)"
계좌번호 주세요,"('자동납부번호 확인 방법', 0.503)","('단말기 할부금 중도 납부 방법', 0.43)","('요금 수납 내역 확인 방법', 0.425)"
데이터 쿠폰,"('데이터 문의 관련', 0.796)","('데이터 추가 사용 방법', 0.645)","('T데이터 쿠폰 구매 방법', 0.57)"
타인카드결제,"('동일 신용카드 월 5회 수납 제한', 0.512)","('휴대폰 결제 이용가능 대상', 0.5)","('T로밍 카드 타인 양도', 0.481)"
로밍서비스,"('로밍폰 임대', 0.515)","('T로밍 고객센터', 0.513)","('가족 로밍', 0.505)"
세븐틴,"('게임 관련', 0.488)","('음악 관련', 0.48)","('미성년자 관련', 0.455)"
휴대폰 결제 문의 안내,"('결제 관련', 0.765)","('휴대폰 결제 이용가능 대상', 0.599)","('법인 휴대폰 결제', 0.559)"
또 누구는 내가 너무 착하대,"('상담사 칭찬 방법', 0.408)",,
미납 요금,"('SKT 미납센터 연락처', 0.752)","('가산금', 0.691)","('미납 이용정지', 0.691)"
실시간이용요금,"('실시간 요금 상세 내역', 0.773)","('요금제문의', 0.462)","('데이터통화료 상한제도', 0.422)"
계좌번호 알려주세요,"('자동납부번호 확인 방법', 0.539)","('요금 수납 내역 확인 방법', 0.429)",
선택약정할인 연장,"('선택약정 할인제도 약정 기간 변경', 0.61)","('선택약정 할인제도 만료 SMS 발송 시기', 0.46)","('선택약정 할인제도 재가입 조건', 0.42)"
선택약정 신청,,,
미납요금조회,"('SKT 미납센터 연락처', 0.768)","('미납 이용정지', 0.654)","('가산금', 0.542)"
부재중전화,"('통화중대기 서비스', 0.612)","('콜키퍼', 0.574)","('T_부재중안내', 0.535)"
소액결제한도,"('애플 콘텐츠 이용료 결제 이용 한도', 0.632)","('법인 휴대폰 결제 이용 한도', 0.631)","('060정보료 한도제', 0.566)"
소액결제 한도,"('법인 휴대폰 결제 이용 한도', 0.708)","('애플 콘텐츠 이용료 결제 이용 한도', 0.624)","('060정보료 한도제', 0.582)"
상담사좀 불러줘,"('전화 상담사 연결', 0.9)","('SK텔레콤 고객센터 운영 시간', 0.661)","('제조사 AS 센터 연락처', 0.472)"
약정가입,"('요금약정 할인제도', 0.595)","('데이터결합약정할인 신청 방법', 0.453)","('T지원금 약정', 0.412)"
요금안내서,"('요금안내서 변경 방법', 0.722)","('요금안내서 재발행 방법', 0.576)","('요금안내서 발행유형 자동 변경 해제 방법', 0.509)"
10월달요금,"('요금제문의', 0.439)","('실시간 요금 상세 내역', 0.425)","('요금 납부일 확인 방법', 0.425)"
전화번호,"('제조사 AS 센터 연락처', 0.675)","('전화 상담사 연결', 0.623)","('전화 관련', 0.612)"
상담사 불러,"('전화 상담사 연결', 0.868)","('SK텔레콤 고객센터 운영 시간', 0.723)","('제조사 AS 센터 연락처', 0.499)"
콘텐츠 이용료,"('콘텐츠 이용료 가능 대상', 0.608)","('게임 관련', 0.553)","('콘텐츠 이용료 구매내역 확인 방법', 0.495)"
약정할인 신청,,,
부탁드려요,"('전화 상담사 연결', 0.558)","('채티 서비스', 0.552)","('메시지 관련', 0.484)"
요금청구서,"('요금안내서 재발행 방법', 0.712)","('요금안내서 변경 방법', 0.687)","('각종업무구비서류', 0.556)"
일본 로밍,"('가족 로밍', 0.496)","('미성년자 로밍', 0.444)",
실시간 요금,"('실시간 요금 상세 내역', 0.854)","('요금제문의', 0.48)","('최근 사용량 확인 방법', 0.426)"
일본로밍,"('가족 로밍', 0.476)","('미성년자 로밍', 0.429)",
운영시간,"('SK텔레콤 고객센터 운영 시간', 0.737)","('통화중대기 서비스', 0.417)",
계좌번호 302 0028 3069 61,"('자동납부번호 확인 방법', 0.468)",,
휴대폰결제한도변경,"('법인 휴대폰 결제 이용 한도', 0.485)","('애플 콘텐츠 이용료 결제 이용 한도', 0.448)","('휴대폰결제 이용 제한 해제 방법', 0.443)"
자녀 선택약정,"('미성년자 관련', 0.535)","('다른 번호 문의', 0.497)","('자녀 요금 조회 방법', 0.438)"
t올케어 해지,"('단말보험 해지 방법', 0.616)","('T All케어플러스 포인트 서비스 해지 방법', 0.49)","('T 아이폰케어 해지 방법', 0.438)"
소액결제 한도 상향,"('법인 휴대폰 결제 이용 한도', 0.622)","('애플 콘텐츠 이용료 결제 이용 한도', 0.594)","('060정보료 한도제', 0.468)"
번호도용차단,"('번호도용문자차단', 0.723)","('번호도용문자차단 신청 방법', 0.538)","('발신번호 관련', 0.505)"
제주신항,"('제주도 프리', 0.481)",,
가상계좌번호 주세요,"('자동납부번호 확인 방법', 0.419)",,
미납요금납부가능일등록,"('요금 납부일 확인 방법', 0.593)","('요금 납부일 변경 방법', 0.571)","('SKT 미납센터 연락처', 0.539)"
상담자,"('전화 상담사 연결', 0.729)","('SK텔레콤 고객센터 운영 시간', 0.607)","('채티 서비스', 0.58)"
미납요금결제,"('과납', 0.692)","('SKT 미납센터 연락처', 0.685)","('미납 이용정지', 0.589)"
25일 납부가능,"('요금 납부일 확인 방법', 0.656)","('단말기 할부금 중도 납부 방법', 0.648)","('요금 수납 내역 확인 방법', 0.599)"
미납요금요,"('SKT 미납센터 연락처', 0.796)","('가산금', 0.687)","('미납 이용정지', 0.666)"
11월27일 납부가능합니다.,"('요금 납부일 확인 방법', 0.665)","('단말기 할부금 중도 납부 방법', 0.662)","('요금 수납 내역 확인 방법', 0.591)"
계좌번호 보내주세요,"('이용계약 증명서 발급 방법', 0.438)","('단말기 할부금 중도 납부 방법', 0.433)","('수납이력서 재발행 방법', 0.418)"
납부가능일자,"('요금 납부일 확인 방법', 0.867)","('요금 납부일 변경 방법', 0.74)","('요금 수납 내역 확인 방법', 0.585)"
장기 가입 쿠폰 사용할게,"('장기가입고객 할인제도', 0.542)","('데이터 리필하기 쿠폰 유효기간', 0.466)","('T쿠폰 등록 방법', 0.445)"
콘텐츠이용료,"('콘텐츠 이용료 가능 대상', 0.556)","('콘텐츠 이용료 구매내역 확인 방법', 0.468)","('결제 관련', 0.409)"
카드로 납부,"('OK캐쉬백 납부', 0.586)","('통신과금 선결제 이용 방법', 0.574)","('요금 부분 납부 방법', 0.562)"
타인카드납부,"('동일 신용카드 월 5회 수납 제한', 0.552)","('T로밍 카드 타인 양도', 0.517)",
핸드폰결제,"('결제 관련', 0.78)","('휴대폰결제 이용동의 신청 방법', 0.71)","('휴대폰 결제 이용가능 대상', 0.633)"
상담사와,"('전화 상담사 연결', 0.824)","('SK텔레콤 고객센터 운영 시간', 0.64)","('채티 서비스', 0.486)"
미납날짜 말일로 변경가능할까요?,"('요금 납부일 변경 방법', 0.717)","('자동납부 해지 방법', 0.541)","('요금 납부일 확인 방법', 0.527)"
01094203667 1기가 선물,"('baro 1GB 충전', 0.426)",,
납부가능일 입력,"('요금 납부일 확인 방법', 0.849)","('요금 납부일 변경 방법', 0.806)","('요금 수납 내역 확인 방법', 0.51)"
약정 가입,"('요금약정 할인제도', 0.605)","('데이터결합약정할인 신청 방법', 0.443)",
t전화 해제,"('T전화 탈퇴 및 서비스 미사용', 0.707)","('T전화채티대화이력삭제', 0.539)","('T전화 NUGU 계정 해제 방법', 0.514)"
미납요금 문의,"('SKT 미납센터 연락처', 0.803)","('가산금', 0.705)","('미납 이용정지', 0.678)"
음성 잔여량,"('일자별 잔여통화안내', 0.599)","('baro 요금제 잔여량 확인', 0.537)","('일자별 잔여통화안내 신청 방법', 0.498)"
요금제 해지,"('요금제 변경', 0.598)","('이동전화 해지 방법', 0.498)","('철회', 0.486)"
선택약정할인신청,,,
미납요금 가상계좌,"('SKT 미납센터 연락처', 0.632)","('요금 수납 내역 확인 방법', 0.472)","('미납 이용정지', 0.427)"
계좌 번호,"('자동납부번호 확인 방법', 0.59)","('통화 내역 열람 방법', 0.423)","('단말기 일련번호 확인 방법', 0.417)"
카드수납,"('T로밍 카드 결제 수단', 0.583)","('통신과금 선결제 이용 방법', 0.566)","('OK캐쉬백 납부', 0.549)"
미납납부,"('SKT 미납센터 연락처', 0.768)","('과납', 0.707)","('미납 이용정지', 0.658)"
휴대폰 결제 한도,"('법인 휴대폰 결제 이용 한도', 0.739)","('애플 콘텐츠 이용료 결제 이용 한도', 0.643)","('060정보료 한도제', 0.582)"
미납요금 납부 가능일 등록,"('요금 납부일 확인 방법', 0.622)","('요금 납부일 변경 방법', 0.619)","('SKT 미납센터 연락처', 0.568)"
홍콩에서 3일간 로밍을 하고 싶은데 어떤 서비스가  좋은지 알려주세요?,,,
소액결제 한도변경,"('법인 휴대폰 결제 이용 한도', 0.64)","('애플 콘텐츠 이용료 결제 이용 한도', 0.539)","('060정보료 한도제', 0.497)"
미납요금 납부가능일 등록,"('요금 납부일 변경 방법', 0.614)","('요금 납부일 확인 방법', 0.599)","('SKT 미납센터 연락처', 0.566)"
내요금제,"('요금제문의', 0.568)","('요금제 추천', 0.491)",
즉시결제,"('결제 관련', 0.598)","('간편결제 서비스', 0.5)","('Sk pay', 0.463)"
약정할인 연장,"('요금약정 할인제도', 0.466)","('선택약정 할인제도 약정 기간 변경', 0.46)",
부재중,"('제조사 AS 센터 연락처', 0.59)","('통화중대기 서비스', 0.576)","('콜키퍼', 0.504)"
납부가능날짜,"('요금 납부일 확인 방법', 0.864)","('요금 납부일 변경 방법', 0.764)","('요금 수납 내역 확인 방법', 0.582)"
우체국,"('영업장 위치 확인', 0.468)","('요금안내서 주소 변경 방법', 0.459)",
말일납부가능,"('요금 납부일 변경 방법', 0.754)","('요금 납부일 확인 방법', 0.748)","('단말기 할부금 중도 납부 방법', 0.544)"
부가서비스요금,"('부가서비스 가입내역 확인 방법', 0.66)","('부가 사용 금액', 0.654)","('부가통화', 0.548)"
요금납부 전용계좌,"('요금 수납 내역 확인 방법', 0.533)","('요금 부분 납부 방법', 0.531)","('단말기 할부금 중도 납부 방법', 0.518)"
미납 납부가능일 문의,"('요금 납부일 확인 방법', 0.808)","('요금 납부일 변경 방법', 0.631)","('요금 수납 내역 확인 방법', 0.586)"
미납가능일,"('요금 납부일 확인 방법', 0.643)","('SKT 미납센터 연락처', 0.631)","('미납 이용정지', 0.613)"
인터넷 미납요금,"('SKT 미납센터 연락처', 0.593)","('가산금', 0.507)","('미납 이용정지', 0.498)"
미납요금?,"('SKT 미납센터 연락처', 0.774)","('가산금', 0.687)","('미납 이용정지', 0.664)"
장기 가입 쿠폰,"('장기가입고객 할인제도', 0.62)","('데이터 리필하기 쿠폰 유효기간', 0.454)","('장기일시정지', 0.442)"
미납요금 가능일,"('요금 납부일 확인 방법', 0.676)","('SKT 미납센터 연락처', 0.676)","('미납 이용정지', 0.611)"
미납요금관련,"('SKT 미납센터 연락처', 0.788)","('미납 이용정지', 0.7)","('가산금', 0.679)"
청구요금알려줘,"('실시간 요금 상세 내역', 0.669)","('요금 수납 내역 확인 방법', 0.457)","('법인폰 청구 요금 조회 방법', 0.457)"
전체금액,"('요금제문의', 0.527)","('실시간 요금 상세 내역', 0.507)","('구매 관련', 0.459)"
상담 신청할게,"('채티 서비스', 0.665)","('전화 상담사 연결', 0.638)","('SK텔레콤 고객센터 운영 시간', 0.478)"
소액결제 한도상향,"('법인 휴대폰 결제 이용 한도', 0.556)","('애플 콘텐츠 이용료 결제 이용 한도', 0.504)","('060정보료 한도제', 0.428)"
쿠폰 사용,"('T쿠폰 등록 방법', 0.411)",,
납부가능일 설정,"('요금 납부일 변경 방법', 0.864)","('요금 납부일 확인 방법', 0.772)","('유선 요금 납부일 변경 방법', 0.534)"
통화중,"('통화중대기 서비스', 0.784)","('통화중대기 서비스 신청 방법', 0.551)","('통화중대기 서비스 해지 방법', 0.442)"
미납 요금 납부 가능일 문의,"('요금 납부일 확인 방법', 0.789)","('요금 납부일 변경 방법', 0.617)","('요금 수납 내역 확인 방법', 0.608)"
직원상담,"('전화 상담사 연결', 0.78)","('SK텔레콤 고객센터 운영 시간', 0.621)","('상담사 칭찬 방법', 0.538)"
통화설정,"('제조사 AS 센터 연락처', 0.757)","('T전화 설정 방법', 0.598)","('전화 관련', 0.536)"
미납요금가능일,"('SKT 미납센터 연락처', 0.689)","('요금 납부일 확인 방법', 0.645)","('미납 이용정지', 0.603)"
부과서비스,"('가산금', 0.614)","('과납', 0.558)","('요금제문의', 0.526)"
컨텐츠결제,"('결제 관련', 0.713)","('휴대폰결제 이용동의 신청 방법', 0.658)","('휴대폰결제이용차단신청방법', 0.548)"
전체요금,"('실시간 요금 상세 내역', 0.549)","('요금제문의', 0.536)","('통합청구서', 0.437)"
114가 뭐야?,"('전화 상담사 연결', 0.614)","('T전화 T114 이용 방법', 0.567)","('SKT 콜렉트콜 서비스', 0.454)"
연락처 가져오기,"('제조사 AS 센터 연락처', 0.566)","('요금안내서 주소 변경 방법', 0.467)","('착신전환 이용 방법', 0.448)"
신한카드,"('제휴카드 할인', 0.611)","('T멤버십 혜택', 0.453)","('T멤버십 가맹점 및 사용 방법', 0.424)"
약정할인연장,"('요금약정 할인제도', 0.531)","('연장 관련', 0.501)","('선택약정 할인제도 약정 기간 변경', 0.428)"
사용요금,"('실시간 요금 상세 내역', 0.709)","('요금제문의', 0.614)","('부가 사용 금액', 0.48)"
요금안내서 설정,,,
자녀 선택약정할인 신청,,,
데이터잔량,"('데이터 문의 관련', 0.7)","('데이터 추가 사용 방법', 0.665)","('일자별 잔여통화안내', 0.596)"
브로드밴드,"('band 데이터 요금제', 0.649)","('T플러스B인터넷', 0.584)","('band 어르신 요금제', 0.475)"
선택약정연장,"('선택약정 할인제도 약정 기간 변경', 0.642)","('선택약정 할인제도 만료 SMS 발송 시기', 0.547)","('연장 관련', 0.542)"
데이터 속도,"('속도 관련', 0.936)","('휴대폰 데이터 속도 저하 조치 방법', 0.669)","('데이터 문의 관련', 0.511)"
부가세,"('세금계산서 신청 방법', 0.587)","('부가 사용 금액', 0.47)","('세금계산서 재발행 방법', 0.461)"
문자보내줘,"('메시지 관련', 0.854)","('MMS', 0.615)","('문자메시지 서비스', 0.578)"
선택약정신청,"('선택약정 할인제도 가입 조건', 0.467)","('선택약정 할인 중복 가입 가능 상품', 0.443)",
해외전화차단,"('국제전화수신거부 서비스', 0.674)","('데이터 로밍 차단 시 통화 문자 이용', 0.533)","('국제전화 발신 금지', 0.513)"
요금납부계좌,"('자동납부번호 확인 방법', 0.6)","('요금 수납 내역 확인 방법', 0.562)","('수납이력서 재발행 방법', 0.512)"
근데 급여일이 오늘인 10일에서 15 일로 변경돼었습니다,"('요금 납부일 변경 방법', 0.608)","('요금 납부일 확인 방법', 0.477)",
상담신청,"('전화 상담사 연결', 0.746)","('채티 서비스', 0.598)","('SK텔레콤 고객센터 운영 시간', 0.563)"
타인카드 결제,"('동일 신용카드 월 5회 수납 제한', 0.544)","('휴대폰 결제 이용가능 대상', 0.478)","('결제 관련', 0.43)"
로밍하려구요,"('미성년자 로밍', 0.553)","('가족 로밍', 0.545)","('T로밍 고객센터', 0.523)"
미납요금납부가능일 문의,"('요금 납부일 확인 방법', 0.753)","('요금 납부일 변경 방법', 0.621)","('SKT 미납센터 연락처', 0.545)"
통신사 확인,"('타 통신사 고객센터', 0.698)","('번호이동 제도', 0.529)","('발신번호 관련', 0.463)"
요금 미납,"('과납', 0.666)","('가산금', 0.664)","('SKT 미납센터 연락처', 0.656)"
상담요,"('채티 서비스', 0.708)","('전화 상담사 연결', 0.592)","('데이터 문의 관련', 0.536)"
실시간 이용요금,"('실시간 요금 상세 내역', 0.838)","('요금제문의', 0.434)","('최근 사용량 확인 방법', 0.43)"
핸드폰 보험,"('단말 보험 가입 방법', 0.857)","('휴대폰 보험 보상 신청 방법', 0.654)","('분실파손보험', 0.63)"
선택약정할인 신청,,,
상담 감사합니다,"('채티 서비스', 0.692)","('전화 상담사 연결', 0.575)","('데이터 문의 관련', 0.545)"
고지서,"('요금안내서 변경 방법', 0.67)","('요금안내서 발행유형 자동 변경 해제 방법', 0.6)","('요금안내서 재발행 방법', 0.594)"
계좌보내주세요,"('단말기 할부금 중도 납부 방법', 0.499)","('이용계약 증명서 발급 방법', 0.429)","('각종업무구비서류', 0.412)"
다른번호,"('다른 번호 문의', 0.907)","('자녀 요금 조회 방법', 0.56)","('발신번호 관련', 0.54)"
상담사문의,"('전화 상담사 연결', 0.685)","('채티 서비스', 0.666)","('SK텔레콤 고객센터 운영 시간', 0.521)"
11월30일 납부 가능합니다,"('요금 납부일 확인 방법', 0.695)","('단말기 할부금 중도 납부 방법', 0.666)","('요금 납부일 변경 방법', 0.601)"
핸드폰보험,"('단말 보험 가입 방법', 0.837)","('분실파손보험', 0.648)","('휴대폰 보험 보상 신청 방법', 0.644)"
25일 납부 가능합니다,"('단말기 할부금 중도 납부 방법', 0.673)","('요금 납부일 확인 방법', 0.638)","('요금 수납 내역 확인 방법', 0.601)"
계좌번호주세요,"('자동납부번호 확인 방법', 0.469)","('단말기 할부금 중도 납부 방법', 0.45)","('요금 수납 내역 확인 방법', 0.42)"
미납일,"('SKT 미납센터 연락처', 0.655)","('요금 납부일 확인 방법', 0.654)","('미납 이용정지', 0.637)"
요금 내려구요 가상계좌 번호 부탁요 카카오 뱅크로 알려주세요,"('OK캐쉬백 납부', 0.461)","('공동인증서 등록 방법', 0.459)","('채팅플러스 계좌 송금 서비스', 0.451)"
계좌주세요,"('단말기 할부금 중도 납부 방법', 0.446)","('요금 수납 내역 확인 방법', 0.405)","('자동납부번호 확인 방법', 0.402)"
해외에서 사용한 금액에 대해 월별로 보내 주시면 감사드리겠습니다,"('T로밍 청구내역서', 0.747)","('수납이력서 재발행 방법', 0.52)","('로밍 통화내역 열람', 0.515)"
3개월치 납입고지서를 팩스로 받고싶습니다,"('요금안내서 재발행 방법', 0.719)","('수납이력서 재발행 방법', 0.609)","('요금안내서 변경 방법', 0.588)"
청구서보내요,"('요금안내서 변경 방법', 0.809)","('요금안내서 재발행 방법', 0.664)","('요금안내서 발행유형 자동 변경 해제 방법', 0.626)"
상담자와 상담 시작,"('전화 상담사 연결', 0.801)","('SK텔레콤 고객센터 운영 시간', 0.623)","('채티 서비스', 0.479)"
기본형,"('원패스 VIP 기본형', 0.585)","('베이직', 0.572)","('표준 요금제', 0.515)"
계좌번호 302 0028 3069 61 서영태,"('자동납부번호 확인 방법', 0.445)",,
대리점 납부가 가능한가요,"('편의점 요금 납부', 0.662)","('단말기 할부금 중도 납부 방법', 0.577)","('요금 부분 납부 방법', 0.57)"
부가세는 4천원에서 5천으로 왜 변경된건가요!,"('세금계산서 신청 방법', 0.441)",,
유심추가,"('USIM기변 방법', 0.733)","('USIM 카드 구매 방법', 0.732)","('추가 관련', 0.5)"
폰요금,"('요금제문의', 0.745)","('단말기 할부', 0.569)","('가입비', 0.533)"
납부가능일지정,"('요금 납부일 변경 방법', 0.801)","('요금 납부일 확인 방법', 0.794)","('유선 요금 납부일 변경 방법', 0.501)"
약정할인이 끝났는데 약정재계약을 하고싶어요,"('선택약정 할인제도 재가입 조건', 0.579)","('선택약정 할인제도 약정 기간 변경', 0.483)","('요금약정 할인제도', 0.457)"
Girls Generation,"('미성년자 관련', 0.598)","('0청년 요금제', 0.464)","('T끼리 데이터 선물하기 연령', 0.435)"
또 누구는 내가 너무 착하데,"('NUGU 서비스', 0.427)","('NUGU 서비스 이용 대상', 0.421)",
상담사연결요망,"('전화 상담사 연결', 0.87)","('SK텔레콤 고객센터 운영 시간', 0.542)","('연결 관련', 0.455)"
미납요금 조회,"('SKT 미납센터 연락처', 0.498)",,
아이폰 15,"('아이폰 관련', 0.54)","('5G 기기 변경 방법', 0.53)","('휴대폰 관련', 0.529)"
청소년,"('미성년자 관련', 0.879)","('팅 요금제 자동 변경 시기', 0.511)","('다른 번호 문의', 0.503)"
114 문의,"('전화 상담사 연결', 0.705)","('SK텔레콤 고객센터 운영 시간', 0.516)","('T전화 T114 이용 방법', 0.515)"
기업은행이요,"('NUGU 서비스 하나은행 금융 기능', 0.404)",,
t로밍,"('T로밍 고객센터', 0.531)","('가족 로밍', 0.509)","('미성년자 로밍', 0.469)"
플로가입,"('FLO 신청 방법', 0.781)","('FLO 이용 방법', 0.709)","('FLO', 0.705)"
미납요금이요,"('SKT 미납센터 연락처', 0.778)","('가산금', 0.698)","('미납 이용정지', 0.683)"
납부가능일 문의합니다,"('요금 납부일 확인 방법', 0.907)","('요금 납부일 변경 방법', 0.738)","('요금 수납 내역 확인 방법', 0.58)"
내요금제확인,"('요금제문의', 0.462)",,
콘텐츠 이용료 조회,"('콘텐츠 이용료 구매내역 확인 방법', 0.562)",,
가족결합 추가,"('T끼리 온가족할인제도 가족 추가', 0.745)","('T가족모아데이터 가족 추가 방법', 0.56)","('요즘가족결합 가족 추가', 0.554)"
요금금액,"('요금제문의', 0.813)","('SK텔레콤 할인 혜택', 0.603)","('데이터통화료 상한제도', 0.514)"
