query,n_rank1,n_rank2,n_rank3
청구요금,"('법정대리인에게 미성년자 청구금액 SMS MMS 발송', 0.533)","('세금계산서 신청 방법', 0.511)","('가입비', 0.504)"
휴대폰 결제,"('결제 관련', 0.952)","('앱스토어 결제 수단', 0.722)","('T로밍 카드 결제 수단', 0.65)"
재약정,"('선택약정 할인제도 재가입 조건', 0.672)","('유선 요금안내서 재발행 방법', 0.531)","('요금안내서 재발행 방법', 0.513)"
이동전화 가입,"('개통 관련', 0.645)","('신규가입 구비서류', 0.623)","('통화중대기 서비스 신청 방법', 0.613)"
가상계좌보내주세요,"('채팅플러스 계좌 송금 서비스', 0.496)",,
국제전화,"('국제전화 청구 주기', 0.712)","('국제전화 알림 Biz 레터링', 0.614)","('국제전화 발신 금지', 0.614)"
약정할인신청,"('데이터결합약정할인 신청 방법', 0.764)","('요금약정 할인제도', 0.716)","('선택약정 할인제도 가입 조건', 0.538)"
납부방법,"('결제 관련', 0.733)","('가입비', 0.594)","('편의점 요금 납부', 0.584)"
납부날짜,"('요금 납부일 확인 방법', 0.791)","('요금 납부일 변경 방법', 0.596)","('유선 요금 납부일 변경 방법', 0.488)"
선물 받은 쿠폰,"('T로밍 카드 선물', 0.766)","('T멤버십 포인트 선물하기', 0.751)","('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.737)"
미납 문의,"('SKT 미납센터 연락처', 0.806)","('미납 이용정지', 0.758)","('과납', 0.671)"
번호도용,"('명의도용', 0.678)","('번호도용문자차단', 0.614)","('명의도용 신고 방법', 0.557)"
당월요금,"('요금 납부일 변경 방법', 0.494)","('요금 납부일 확인 방법', 0.478)","('유선 요금 납부일 변경 방법', 0.472)"
계좌번호 주세요,"('태블릿 번호 확인 방법', 0.469)","('비밀번호 관련', 0.465)","('다른 번호 문의', 0.457)"
데이터 쿠폰,"('B tv 쿠폰', 0.893)","('T쿠폰', 0.791)","('T쿠폰 고객센터', 0.571)"
타인카드결제,"('타사 고객 baro Box 이용', 0.583)","('인터넷 TV 가입(타사)', 0.56)","('이동전화 가입 (타사)', 0.544)"
로밍서비스,"('T로밍 카드', 0.865)","('T로밍 고객센터', 0.712)","('가족 로밍', 0.705)"
세븐틴,"('0틴플랜 요금제', 0.739)","('0틴 5G 요금제', 0.718)","('SK 세븐모바일', 0.564)"
휴대폰 결제 문의 안내,"('결제 관련', 0.945)","('앱스토어 결제 수단', 0.729)","('T로밍 카드 결제 수단', 0.671)"
또 누구는 내가 너무 착하대,"('상담사 칭찬 방법', 0.559)",,
미납 요금,"('SKT 미납센터 연락처', 0.794)","('미납 이용정지', 0.744)","('과납', 0.691)"
실시간이용요금,"('실시간 요금 상세 내역', 0.85)","('B tv 실시간 채널', 0.685)","('B tv 실시간 TV 설정 방법', 0.612)"
계좌번호 알려주세요,"('태블릿 번호 확인 방법', 0.476)","('비밀번호 관련', 0.467)","('다른 번호 문의', 0.445)"
선택약정할인 연장,"('번호변경안내 서비스 연장 방법', 0.741)","('연장 관련', 0.711)","('선택약정 할인제도 약정 기간 변경', 0.594)"
선택약정 신청,"('선택약정 할인제도 가입 조건', 0.867)","('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.617)","('선택약정 할인제도 가입 불가 요금제', 0.575)"
미납요금조회,"('SKT 미납센터 연락처', 0.728)","('미납 이용정지', 0.705)","('과납', 0.511)"
부재중전화,"('T_부재중안내', 0.892)","('발신번호메모플러스', 0.49)","('발신번호메모플러스 신청 방법', 0.412)"
소액결제한도,"('법인 휴대폰 결제 이용 한도', 0.815)","('애플 콘텐츠 이용료 결제 이용 한도', 0.805)","('데이터통화료 상한제도', 0.67)"
소액결제 한도,"('법인 휴대폰 결제 이용 한도', 0.817)","('애플 콘텐츠 이용료 결제 이용 한도', 0.772)","('데이터통화료 상한제도', 0.657)"
상담사좀 불러줘,"('전화 상담사 연결', 0.947)","('SK텔레콤 고객센터 운영 시간', 0.692)","('유선 A/S 방문 일정', 0.648)"
약정가입,"('데이터결합약정할인 신청 방법', 0.738)","('가입상담 예약 방법', 0.657)","('퀵보이스 신청 방법', 0.647)"
요금안내서,"('유선 요금안내서', 0.71)","('메시지 관련', 0.671)","('각종업무구비서류', 0.656)"
10월달요금,"('T 아이폰케어10', 0.661)","('New T 아이폰케어10', 0.626)","('T나는 폰교체 10', 0.522)"
전화번호,"('전화 상담사 연결', 0.776)","('전화 관련', 0.66)","('다른 번호 문의', 0.626)"
상담사 불러,"('전화 상담사 연결', 0.947)","('SK텔레콤 고객센터 운영 시간', 0.695)","('유선 A/S 방문 일정', 0.659)"
콘텐츠 이용료,"('앱스토어 결제 수단', 0.606)","('부가 사용 금액', 0.597)","('결제 관련', 0.597)"
약정할인 신청,"('요금약정 할인제도', 0.739)","('데이터결합약정할인 신청 방법', 0.738)","('가입상담 예약 방법', 0.536)"
부탁드려요,"('퀵보이스', 0.853)","('퀵보이스 이용 방법', 0.78)","('퀵보이스 신청 방법', 0.682)"
요금청구서,"('각종업무구비서류', 0.778)","('이용계약 증명서 발급 방법', 0.719)","('통신자료제공 신청 방법', 0.599)"
일본 로밍,"('T로밍 카드', 0.535)","('가족 로밍', 0.475)","('T로밍 고객센터', 0.469)"
실시간 요금,"('실시간 요금 상세 내역', 0.893)","('B tv 실시간 채널', 0.667)","('B tv 실시간 TV 설정 방법', 0.581)"
일본로밍,"('T로밍 카드', 0.581)","('T로밍 고객센터', 0.489)","('가족 로밍', 0.487)"
운영시간,"('퀵보이스', 0.644)","('SK텔레콤 고객센터 운영 시간', 0.636)","('퀵보이스 이용 방법', 0.629)"
계좌번호 302 0028 3069 61,"('PUK 번호 확인 방법', 0.448)","('5G언택트 62', 0.412)",
휴대폰결제한도변경,"('법인 휴대폰 결제 이용 한도', 0.72)","('애플 콘텐츠 이용료 결제 이용 한도', 0.716)","('060정보료 한도제', 0.651)"
자녀 선택약정,"('선택약정 할인제도 가입 조건', 0.598)","('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.495)","('B tv 선택', 0.49)"
t올케어 해지,"('ZEM플러스웅진스마트올 해지 방법', 0.744)","('T 아이폰케어 해지 방법', 0.73)","('오토콜 해지 방법', 0.724)"
소액결제 한도 상향,"('애플 콘텐츠 이용료 결제 이용 한도', 0.684)","('데이터통화료 상한제도', 0.659)","('법인 휴대폰 결제 이용 한도', 0.619)"
번호도용차단,"('번호도용문자차단', 0.605)","('차단 관련', 0.507)","('휴대폰 특정 번호 전화 수신 불가 조치 방법', 0.496)"
제주신항,"('이사 관련', 0.416)","('유선 이전 설치', 0.41)",
가상계좌번호 주세요,"('휴대폰결제 비밀번호', 0.476)","('비밀번호 관련', 0.404)",
미납요금납부가능일등록,"('요금 납부일 확인 방법', 0.68)","('자동납부번호 확인 방법', 0.508)","('일자별 잔여통화안내 신청 방법', 0.444)"
상담자,"('전화 상담사 연결', 0.926)","('퀵보이스', 0.689)","('SK텔레콤 고객센터 운영 시간', 0.646)"
미납요금결제,"('SKT 미납센터 연락처', 0.751)","('미납 이용정지', 0.707)","('과납', 0.686)"
25일 납부가능,"('가입비', 0.461)","('요금 납부일 확인 방법', 0.445)",
미납요금요,"('SKT 미납센터 연락처', 0.795)","('미납 이용정지', 0.73)","('과납', 0.669)"
11월27일 납부가능합니다.,"('요금 납부일 확인 방법', 0.441)","('가입비', 0.432)",
계좌번호 보내주세요,"('채팅플러스 계좌 송금 서비스', 0.442)","('휴대폰 결제 대행사 연락처', 0.438)","('연결 관련', 0.409)"
납부가능일자,"('요금 납부일 확인 방법', 0.831)","('요금 납부일 변경 방법', 0.631)","('유선 요금 납부일 변경 방법', 0.511)"
장기 가입 쿠폰 사용할게,"('장기가입고객 할인제도', 0.905)","('장기 미사용 휴대폰 결제 차단', 0.773)","('장기일시정지', 0.761)"
콘텐츠이용료,"('콘텐츠 이용료 가능 대상', 0.611)","('앱스토어 결제 수단', 0.567)","('애플 콘텐츠 이용료 이용 방법', 0.565)"
카드로 납부,"('결제 관련', 0.736)","('OK캐쉬백 납부', 0.576)","('Sk pay 결제 방법', 0.572)"
타인카드납부,"('T로밍 카드 타인 양도', 0.569)","('타사 고객 baro Box 이용', 0.535)","('인터넷 TV 가입(타사)', 0.516)"
핸드폰결제,"('결제 관련', 0.93)","('앱스토어 결제 수단', 0.725)","('Sk pay 결제 방법', 0.628)"
상담사와,"('전화 상담사 연결', 0.953)","('SK텔레콤 고객센터 운영 시간', 0.657)","('제조사 AS 센터 연락처', 0.62)"
미납날짜 말일로 변경가능할까요?,"('요금 납부일 변경 방법', 0.473)","('유선 요금 납부일 변경 방법', 0.469)","('미납 이용정지', 0.468)"
01094203667 1기가 선물,"('T로밍 카드 선물', 0.6)","('T끼리 데이터 선물 조르기 방법', 0.542)","('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.533)"
납부가능일 입력,"('요금 납부일 확인 방법', 0.892)","('요금 납부일 변경 방법', 0.659)","('유선 요금 납부일 변경 방법', 0.544)"
약정 가입,"('데이터결합약정할인 신청 방법', 0.704)","('퀵보이스 신청 방법', 0.673)","('가입상담 예약 방법', 0.659)"
t전화 해제,"('비밀번호통화 서비스 해지 방법', 0.741)","('T전화 탈퇴 및 서비스 미사용', 0.704)","('T전화', 0.587)"
미납요금 문의,"('SKT 미납센터 연락처', 0.811)","('미납 이용정지', 0.768)","('과납', 0.659)"
음성 잔여량,"('일자별 잔여통화안내', 0.528)","('음성 관련', 0.477)","('로밍 음성 사용량 SMS', 0.46)"
요금제 해지,"('이동전화 해지 방법', 0.685)","('퀵보이스 해지 방법', 0.667)","('B tv 월정액 해지 방법', 0.667)"
선택약정할인신청,"('선택약정 할인제도 가입 조건', 0.882)","('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.626)","('선택약정 할인제도 가입 불가 요금제', 0.552)"
미납요금 가상계좌,"('SKT 미납센터 연락처', 0.6)","('미납 이용정지', 0.538)","('과납', 0.419)"
계좌 번호,"('단말기 일련번호 확인 방법', 0.578)","('태블릿 번호 확인 방법', 0.568)","('다른 번호 문의', 0.56)"
카드수납,"('결제 관련', 0.658)","('OK캐쉬백 납부', 0.58)","('세금계산서 신청 방법', 0.551)"
미납납부,"('SKT 미납센터 연락처', 0.748)","('미납 이용정지', 0.713)","('과납', 0.695)"
휴대폰 결제 한도,"('법인 휴대폰 결제 이용 한도', 0.841)","('애플 콘텐츠 이용료 결제 이용 한도', 0.775)","('060정보료 한도제', 0.661)"
미납요금 납부 가능일 등록,"('요금 납부일 확인 방법', 0.69)","('미납 이용정지', 0.503)","('SKT 미납센터 연락처', 0.448)"
홍콩에서 3일간 로밍을 하고 싶은데 어떤 서비스가  좋은지 알려주세요?,,,
소액결제 한도변경,"('법인 휴대폰 결제 이용 한도', 0.663)","('애플 콘텐츠 이용료 결제 이용 한도', 0.654)","('데이터통화료 상한제도', 0.631)"
미납요금 납부가능일 등록,"('요금 납부일 확인 방법', 0.677)","('미납 이용정지', 0.488)","('일자별 잔여통화안내 신청 방법', 0.45)"
내요금제,"('요금제문의', 0.673)","('B tv 요금제', 0.639)","('요금제 추천', 0.557)"
즉시결제,"('간편결제 서비스', 0.483)","('결제 관련', 0.477)","('속도 관련', 0.411)"
약정할인 연장,"('연장 관련', 0.828)","('번호변경안내 서비스 연장 방법', 0.777)","('법인 위임대리인 연장 신청 방법', 0.6)"
부재중,"('T_부재중안내', 0.886)",,
납부가능날짜,"('요금 납부일 확인 방법', 0.808)","('요금 납부일 변경 방법', 0.61)","('유선 요금 납부일 변경 방법', 0.501)"
우체국,"('영업장 위치 확인', 0.535)","('퀵보이스', 0.479)","('제조사 AS 센터 연락처', 0.457)"
말일납부가능,"('요금 납부일 확인 방법', 0.696)","('요금 납부일 변경 방법', 0.59)","('유선 요금 납부일 변경 방법', 0.522)"
부가서비스요금,"('부가 사용 금액', 0.796)","('부가통화', 0.565)","('추가 관련', 0.562)"
요금납부 전용계좌,"('결제 관련', 0.477)","('편의점 요금 납부', 0.416)","('단말기 할부', 0.41)"
미납 납부가능일 문의,"('요금 납부일 확인 방법', 0.617)","('미납 이용정지', 0.561)","('SKT 미납센터 연락처', 0.504)"
미납가능일,"('미납 이용정지', 0.709)","('SKT 미납센터 연락처', 0.584)","('요금 납부일 확인 방법', 0.488)"
인터넷 미납요금,"('SKT 미납센터 연락처', 0.767)","('미납 이용정지', 0.73)","('과납', 0.627)"
미납요금?,"('SKT 미납센터 연락처', 0.807)","('미납 이용정지', 0.751)","('과납', 0.641)"
장기 가입 쿠폰,"('장기가입고객 할인제도', 0.865)","('장기일시정지', 0.769)","('장기 미사용 휴대폰 결제 차단', 0.756)"
미납요금 가능일,"('미납 이용정지', 0.681)","('SKT 미납센터 연락처', 0.621)","('요금 납부일 확인 방법', 0.498)"
미납요금관련,"('SKT 미납센터 연락처', 0.789)","('미납 이용정지', 0.76)","('과납', 0.643)"
청구요금알려줘,"('법정대리인에게 미성년자 청구금액 SMS MMS 발송', 0.503)","('자녀요금통보서비스', 0.461)","('요금 수납 내역 확인 방법', 0.458)"
전체금액,"('퀵보이스', 0.536)","('구매 관련', 0.532)","('부가 사용 금액', 0.491)"
상담 신청할게,"('퀵보이스 신청 방법', 0.875)","('가입상담 예약 방법', 0.756)","('전화 상담사 연결', 0.695)"
소액결제 한도상향,"('애플 콘텐츠 이용료 결제 이용 한도', 0.7)","('법인 휴대폰 결제 이용 한도', 0.674)","('데이터통화료 상한제도', 0.665)"
쿠폰 사용,"('B tv 쿠폰', 0.875)","('T쿠폰', 0.753)","('T데이터 쿠폰 구매 방법', 0.661)"
납부가능일 설정,"('요금 납부일 변경 방법', 0.758)","('요금 납부일 확인 방법', 0.746)","('유선 요금 납부일 변경 방법', 0.639)"
통화중,"('전화 관련', 0.708)","('비밀번호통화 서비스', 0.623)","('음성 관련', 0.607)"
미납 요금 납부 가능일 문의,"('미납 이용정지', 0.6)","('SKT 미납센터 연락처', 0.573)","('요금 납부일 확인 방법', 0.572)"
직원상담,"('전화 상담사 연결', 0.891)","('SK텔레콤 고객센터 운영 시간', 0.715)","('제조사 AS 센터 연락처', 0.658)"
통화설정,"('T전화 설정 방법', 0.785)","('B tv 사용자 맞춤 설정 방법', 0.702)","('컬러링 서비스 설정 방법', 0.607)"
미납요금가능일,"('미납 이용정지', 0.66)","('SKT 미납센터 연락처', 0.627)","('요금 납부일 확인 방법', 0.498)"
부과서비스,"('부가 사용 금액', 0.551)","('퀵보이스', 0.482)","('결제 관련', 0.482)"
컨텐츠결제,"('결제 관련', 0.899)","('앱스토어 결제 수단', 0.745)","('구매 관련', 0.611)"
전체요금,"('전국민 무한 요금제', 0.403)",,
114가 뭐야?,"('T전화 T114 이용 방법', 0.582)","('T전화 T114업체 정보 변경', 0.481)","('전화 상담사 연결', 0.466)"
연락처 가져오기,"('전화 상담사 연결', 0.591)","('영업장 위치 확인', 0.576)","('위치 관련', 0.556)"
신한카드,"('제휴카드 할인', 0.422)",,
약정할인연장,"('번호변경안내 서비스 연장 방법', 0.792)","('연장 관련', 0.79)","('법인 위임대리인 연장 신청 방법', 0.604)"
사용요금,"('통신서비스 요금', 0.609)","('결제 관련', 0.587)","('부가 사용 금액', 0.582)"
요금안내서 설정,"('요금안내서 변경 방법', 0.779)","('레터링 설정 방법', 0.762)","('B tv 사용자 맞춤 설정 방법', 0.676)"
자녀 선택약정할인 신청,"('선택약정 할인제도 가입 조건', 0.753)","('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.592)","('T자녀안심 신청 방법', 0.505)"
데이터잔량,"('자녀 데이터 사용량 조회 방법', 0.711)","('baro Box 잔여량 조회', 0.596)","('데이터 추가 사용 방법', 0.558)"
브로드밴드,"('T플러스B인터넷', 0.633)","('B tv', 0.628)","('SK브로드밴드 고객센터', 0.609)"
선택약정연장,"('번호변경안내 서비스 연장 방법', 0.777)","('연장 관련', 0.72)","('분실정지 수신 기간 연장 방법', 0.595)"
데이터 속도,"('속도 관련', 0.926)","('휴대폰 데이터 속도 저하 조치 방법', 0.736)","('유선 인터넷 속도 저하 조치 방법', 0.558)"
부가세,"('세금계산서 신청 방법', 0.512)","('부가 사용 금액', 0.488)","('과납', 0.471)"
문자보내줘,"('문자메시지 서비스', 0.891)","('메시지 관련', 0.856)","('MMS', 0.838)"
선택약정신청,"('선택약정 할인제도 가입 조건', 0.763)","('선택약정 할인제도 가입 불가 요금제', 0.529)","('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.493)"
해외전화차단,"('해외 SMS 발신금지 서비스', 0.67)","('국제전화 발신 금지', 0.558)","('데이터 로밍 차단 시 Wi-Fi 이용', 0.495)"
요금납부계좌,"('결제 관련', 0.523)","('요금 수납 내역 확인 방법', 0.5)","('편의점 요금 납부', 0.481)"
근데 급여일이 오늘인 10일에서 15 일로 변경돼었습니다,"('요금 납부일 변경 방법', 0.538)","('T All케어플러스 i150', 0.491)","('유선 요금 납부일 변경 방법', 0.461)"
상담신청,"('퀵보이스 신청 방법', 0.87)","('가입상담 예약 방법', 0.779)","('통화중대기 서비스 신청 방법', 0.702)"
타인카드 결제,"('타사 고객 baro Box 이용', 0.599)","('인터넷 TV 가입(타사)', 0.572)","('이동전화 가입 (타사)', 0.554)"
로밍하려구요,"('T로밍 카드', 0.783)","('T로밍 고객센터', 0.668)","('가족 로밍', 0.623)"
미납요금납부가능일 문의,"('요금 납부일 확인 방법', 0.615)","('미납 이용정지', 0.547)","('SKT 미납센터 연락처', 0.491)"
통신사 확인,"('타 통신사 고객센터', 0.729)","('다른 번호 문의', 0.522)","('영업장 위치 확인', 0.52)"
요금 미납,"('SKT 미납센터 연락처', 0.81)","('미납 이용정지', 0.7)","('과납', 0.686)"
상담요,"('전화 상담사 연결', 0.888)","('퀵보이스', 0.765)","('퀵보이스 이용 방법', 0.697)"
실시간 이용요금,"('실시간 요금 상세 내역', 0.877)","('B tv 실시간 채널', 0.688)","('B tv 실시간 TV 설정 방법', 0.591)"
핸드폰 보험,"('단말 보험 가입 방법', 0.695)","('휴대폰 보험 보상 신청 방법', 0.637)","('분실파손보험', 0.48)"
선택약정할인 신청,"('선택약정 할인제도 가입 조건', 0.877)","('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.635)","('선택약정 할인제도 가입 불가 요금제', 0.563)"
상담 감사합니다,"('전화 상담사 연결', 0.816)","('퀵보이스', 0.796)","('퀵보이스 이용 방법', 0.719)"
고지서,"('메시지 관련', 0.672)","('이메일 상담', 0.654)","('퀵보이스', 0.65)"
계좌보내주세요,"('채팅플러스 계좌 송금 서비스', 0.504)","('결제 관련', 0.474)","('휴대폰 결제 대행사 연락처', 0.458)"
다른번호,"('다른 번호 문의', 0.853)","('번호 변경 방법', 0.512)","('집전화 번호 변경', 0.505)"
상담사문의,"('전화 상담사 연결', 0.95)","('SK텔레콤 고객센터 운영 시간', 0.678)","('제조사 AS 센터 연락처', 0.662)"
11월30일 납부 가능합니다,"('요금 납부일 확인 방법', 0.47)","('Wavve콘텐츠팩 연간 신청 방법', 0.405)",
핸드폰보험,"('단말 보험 가입 방법', 0.692)","('휴대폰 보험 보상 신청 방법', 0.644)","('분실파손보험', 0.5)"
25일 납부 가능합니다,"('가입비', 0.465)","('세금계산서 신청 방법', 0.414)","('결제 관련', 0.404)"
계좌번호주세요,"('다른 번호 문의', 0.471)","('휴대폰 결제 대행사 연락처', 0.447)","('연결 관련', 0.44)"
미납일,"('미납 이용정지', 0.698)","('SKT 미납센터 연락처', 0.619)","('요금 납부일 확인 방법', 0.533)"
요금 내려구요 가상계좌 번호 부탁요 카카오 뱅크로 알려주세요,"('휴대폰결제 비밀번호', 0.425)","('Wavve 코인 확인 방법', 0.418)",
계좌주세요,"('퀵보이스', 0.529)","('퀵보이스 이용 방법', 0.52)","('전화 상담사 연결', 0.493)"
해외에서 사용한 금액에 대해 월별로 보내 주시면 감사드리겠습니다,"('T로밍 청구내역서', 0.732)","('T로밍 카드 내역 확인', 0.598)","('로밍 통화내역 열람', 0.568)"
3개월치 납입고지서를 팩스로 받고싶습니다,"('각종업무구비서류', 0.632)","('이용계약 증명서 발급 방법', 0.603)","('요금안내서 발행유형 자동 변경 해제 방법', 0.53)"
청구서보내요,"('이메일 상담', 0.697)","('각종업무구비서류', 0.687)","('메시지 관련', 0.66)"
상담자와 상담 시작,"('전화 상담사 연결', 0.894)","('퀵보이스', 0.645)","('개통 대리점 조회 방법', 0.639)"
기본형,"('원패스 VIP 기본형', 0.608)","('표준 요금제', 0.516)","('T_일반전화', 0.483)"
계좌번호 302 0028 3069 61 서영태,,,
대리점 납부가 가능한가요,"('휴대폰 결제 대행사 연락처', 0.788)","('편의점 요금 납부', 0.619)","('영업장 위치 확인', 0.544)"
부가세는 4천원에서 5천으로 왜 변경된건가요!,"('세금계산서 재발행 방법', 0.411)","('애플 콘텐츠 이용료 결제 수수료', 0.405)",
유심추가,"('로밍 중 USIM 변경', 0.66)","('USIM기변 방법', 0.648)","('데이터 추가 사용 방법', 0.516)"
폰요금,"('통신서비스 요금', 0.781)","('휴대폰 관련', 0.527)","('집전화 요금제', 0.497)"
납부가능일지정,"('요금 납부일 확인 방법', 0.751)","('요금 납부일 변경 방법', 0.733)","('유선 요금 납부일 변경 방법', 0.628)"
약정할인이 끝났는데 약정재계약을 하고싶어요,"('선택약정 할인제도 재가입 조건', 0.666)","('선택약정 할인제도 약정 기간 변경', 0.54)","('유선 요금안내서 재발행 방법', 0.534)"
Girls Generation,"('0청년 요금제', 0.617)","('미성년자 관련', 0.59)","('미성년자 요금제 변경 방법', 0.559)"
또 누구는 내가 너무 착하데,"('상담사 칭찬 방법', 0.491)",,
상담사연결요망,"('전화 상담사 연결', 0.955)","('SK텔레콤 고객센터 운영 시간', 0.631)","('연결 관련', 0.613)"
미납요금 조회,"('SKT 미납센터 연락처', 0.765)","('미납 이용정지', 0.705)","('과납', 0.548)"
아이폰 15,"('T All케어플러스 i150', 0.678)","('분실파손 i150', 0.592)","('T All케어플러스 150', 0.478)"
청소년,"('미성년자 관련', 0.889)","('T청소년안심서비스', 0.653)","('미성년자 요금제 변경 방법', 0.647)"
